#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x;
opinion_hajj_promised;Promised to go on Hajj.;A promis de faire le hajj;Hat versprochen, auf Haddsch zu gehen.;;Prometió hacer el hach.;Ha promesso di partire per l'Hajj.;;;;;;;;x;
opinion_hajj_not_helpin;Not showing charity;Ne montre aucune charité;Zeigt keine Barmherzigkeit;;No muestra caridad;Non mostra carità;;;;;;;;x;
EVTDESC86000;You have started to prepare yourself for going on a pilgrimage to Mecca. Soon you will humble yourself and travel in a group with others to fulfill one of the five pillars of Islam.;Vous vous préparez à partir en pèlerinage à La Mecque. Très vite, vous ferez preuve d'humilité et voyagerez en groupe avec d'autres compagnons pour réaliser l'un des cinq piliers de l'islam.;Ihr habt Euch auf eine Pilgerreise nach Mekka vorbereitet. Bald werdet Ihr demütig mit anderen in einer Gruppe reisen, um einen Pfeiler des Islams zu erfüllen.;;Has comenzado a prepararte para ir de peregrinación a La Meca. Pronto mostrarás humildad y viajarás con otros para completar uno de los cinco pilares del islam.;Hai iniziato a prepararti per un pellegrinaggio alla Mecca. Presto ti renderai umile e viaggerai in gruppo con altri per compiere uno dei cinque pilastri dell'Islam.;;;;;;;;x;
EVTOPTA86000;All are equal in front of God!;Nous sommes tous égaux aux yeux de Dieu !;Vor Gott sind alle gleich!;;¡Todos son iguales ante los ojos de Dios!;Tutti sono uguali di fronte a Dio!;;;;;;;;x;
EVTDESC86001;I am preparing myself for my travel to Mecca, and I have understood that there are members of my court that have not yet gone on a pilgrimage to Mecca. As [Root.PrimaryTitle.GetRulerTitle], it is my duty to be charitable to my people, and I will bring one of them with me.;Je me prépare à effectuer mon voyage jusqu'à La Mecque et j'ai entendu que de nombreux membres de ma Cour ne sont jamais partis en pèlerinage à La Mecque. En tant que [Root.PrimaryTitle.GetRulerTitle], je me dois d'être charitable envers mes gens, et j'ai décidé d'emmener l'un d'eux avec moi.;Als ich mich auf meine Reise nach Mekka vorbereitete, habe ich festgestellt, dass es Mitglieder meines Hofes gibt, die bisher noch nicht auf eine Pilgerreise nach Mekka gegangen sind. Als [Root.PrimaryTitle.GetRulerTitle] ist es meine Pflicht barmherzig, zu meinem Volk zu sein, und deshalb werde ich einen von ihnen mit auf die Reise nehmen.;;Me estoy preparando para mi viaje a La Meca, y he comprendido que hay miembros de mi corte que todavía no han hecho la peregrinación a La Meca. Como [Root.PrimaryTitle.GetRulerTitle], es mi deber ser generoso con mi gente y llevaré a uno de ellos conmigo.;Mi sto preparando per il mio viaggio alla Mecca, e mi è parso di capire che ci sono membri della mia corte che ancora non sono stati in pellegrinaggio. Come [Root.PrimaryTitle.GetRulerTitle], è mio dovere essere caritatevole verso il mio popolo, e porterò uno di loro con me.;;;;;;;;x;
EVTOPTA86001;It will make travel more enjoyable...;Cela égaiera le voyage...;Es wird die Reise reizvoller machen ...;;Hará el viaje más placentero...;Ciò renderà il mio viaggio più piacevole...;;;;;;;;x;
EVTOPTB86001;It is too costly...;C'est trop onéreux...;Das ist zu kostspielig ...;;Es demasiado costoso...;È troppo costoso...;;;;;;;;x;
EVTDESC86010;While preparing for my pilgrimage to Mecca, I have come to realize that [Root.Liege.GetTitledName] is not a Hajjaj.;Alors que je me préparais pour mon voyage vers La Mecque, je me suis rendu compte que [Root.Liege.Get_le_TitledName] n'avait jamais fait le hajj.;Während meiner Vorbereitungen der Pilgerreise nach Mekka wurde mir klar, dass [Root.Liege.GetTitledName] nicht bereit ist, ein würdiger Pilger nach Mekka zu werden.;;Mientras me preparo para mi peregrinación a La Meca, me he dado cuenta de que [Root.Liege.GetTitledName] no es un Hajjaj.;Mentre sto organizzando il mio pellegrinaggio alla Mecca, mi sono accorto che [Root.Liege.GetTitledName] non è un Hajjaj.;;;;;;;;x;
EVTOPTA86010;Berate [Root.Liege.GetHerHim] about it!;[Root.Liege.GetLeLaCap] réprimander pour ce grave manquement !;Scheltet [Root.Liege.GetHerHim] deswegen!;;¡Repréndelo por ello!;Rimprovera [Root.Liege.GetHerHim] di ciò!;;;;;;;;x;
EVTTOOLTIP86011;will listen to us...;nous écoutera...;wird auf uns hören ...;;nos escuchará...;Ci ascolterà...;;;;;;;;x;
EVTOPTB86010;Clearly, [Root.Liege.GetSheHe] is a busy [Root.Liege.GetManWoman]...;C'est un[Root.Liege.Get_E] [Root.Liege.GetManWoman] très occupé[Root.Liege.Get_E]...;[Root.Liege.GetSheHeCap] ist eine wahrlich ein Person ...;;Es obvio que es un hombre ocupado...;Chiaramente, [Root.Liege.GetSheHe] è un [Root.Liege.GetManWoman] impegnato...;;;;;;;;x;
EVTDESC86011;My beloved [Root.GetTitle]!\n I am preparing to go to Mecca on a Hajj. Sadly, rumors tell me that you have not gone on a pilgrimage yourself. Would you like to travel with me, your faithful servant?\nYour humble [From.GetTitledName];M[Root.GetOnA] ch[Root.GetErEre] [Root.GetTitle] !\nJe me prépare à partir pour La Mecque pour mon grand pèlerinage. Malheureusement, des rumeurs disent que vous-même ne vous y êtes jamais rendu ? Aimeriez-vous m'accompagner en tant que fidèle serviteur ?\nVotre humble [From.GetTitledName];Mein geliebter [Root.GetTitle]!\nIch bereite mich darauf vor, auf eine Haddsch nach Mekka zu gehen. Leider ist mir das Gerücht zu Ohren gekommen, dass Ihr selbst bisher noch nicht an einer Pilgerreise teilgenommen habt. Möchtet Ihr mit mir reisen, Eurem getreuen Diener?\nEuer demütiger [From.GetTitledName];;Mi querido [Root.GetTitle]\n Me estoy preparando para ir a La Meca en el hach. Lamentablemente, los rumores dicen que no has realizado la peregrinación. ¿Te gustaría viajar conmigo, tu fiel sirviente? \nTu humilde [From.GetTitledName];Mio caro [Root.GetTitle]!\nMi sto preparando a partire per la Mecca in Hajj. Tristemente, si vocifera che tu non sia ancora stato in pellegrinaggio. Ti piacerebbe partire con me, mio fedele servitore?\nUmilmente tuo [From.GetTitledName];;;;;;;;x;
EVTOPTA86011;I will prepare myself immediately!;Je me prépare immédiatement !;Ich werde sofort meine Vorbereitungen treffen!;;¡Me prepararé inmediatamente!;Andrò a prepararmi immediatamente!;;;;;;;;x;
EVTTOOLTIP86012;will be travelling together with us...;voyagera en notre compagnie...;wird mit uns zusammen reisen ... ;;viajará junto a nosotros…;Viaggeremo insieme...;;;;;;;;x;
EVTOPTB86011;I am too busy!;Je suis trop occupé !;Ich bin zu beschäftigt!;;¡Estoy demasiado ocupado!;Sono troppo impegnato!;;;;;;;;x;
EVTTOOLTIP86013;will be disappointed in me;sera déçu de mon attitude;wird von mir enttäuscht sein;;se decepcionará conmigo;Sarà deluso di me;;;;;;;;x;
EVTDESC86012;Dear [Root.GetTitledFirstName]!\nI will join you on your way to Mecca!\nYour liege, [From.GetTitledName];Ch[Root.GetErEre] [Root.GetTitledFirstName] !\nJ'accepte de faire ce voyage à La Mecque avec vous !\nVotre [From.GetLordLady] lige, [From.GetTitledName];[Root.GetTitledFirstName]!\nIch werde mich Euch auf Eurem Weg nach Mekka anschließen!\nEuer Lehnsherr, [From.GetTitledName];;Querido [Root.GetTitledFirstName]\nTe acompañaré en tu camino a La Meca\nTu Señor, [From.GetTitledName];Caro [Root.GetTitledFirstName]!\nMi unirò al tuo viaggio verso la Mecca!\nIl tuo Signore, [From.GetTitledName];;;;;;;;x;
EVTOPTA86012;Allah is Great!;Allah est Grand !;Allah ist groß!;;¡Alá es grande!;Allah è Grande!;;;;;;;;x;
EVTDESC86013;I am sincerely regretful to inform you that I am not able to join you in your pilgrimage.\n[From.GetTitledName];Je suis au regret de vous informer que je ne pourrai me joindre à vous pour ce pèlerinage.\n[From.GetTitledName];Ich bedaure es zutiefst, Euch mitteilen zu müssen, dass ich Euch auf Eurer Pilgerreise nicht begleiten kann.\n[From.GetTitledName];;Me apena mucho tener que decirte que no podré unirme a tu peregrinación.\n[From.GetTitledName];Sono sinceramente rammaricato dall'informarti che non sarò in grado di unirmi al tuo pellegrinaggio.\n[From.GetTitledName];;;;;;;;x;
EVTOPTA86013;Allah will judge him...;Allah le punira...;Allah wird über ihn richten ... ;;Alá lo juzgará...;Allah lo giudicherà...;;;;;;;;x;
EVTDESC86015;Our liege, [Root.Liege.GetTitledName], has heard of our plans to go to Mecca, and sends us advice that the road is perilous with infidels and bandits.;M[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige, [Root.Liege.Get_le_TitledName], a entendu parler de notre projet d'aller à La Mecque et nous informe que la route est très dangereuse, parsemée de bandits et de cruels infidèles.;Unser Fürst, [Root.Liege.GetTitledName], hat von Euren Plänen gehört, nach Mekka zu gehen, und entsendet uns den Hinweis, dass die Straße aufgrund von Banditen und Ungläubigen gefährlich ist.;;Nuestro señor, [Root.Liege.GetTitledName], ha escuchado nuestros planes de ir a La Meca, y nos advierte que el camino está infestado de infieles y bandidos.;Il nostro Signore, [Root.Liege.GetTitledName], ha udito del nostro intento di recarci alla Mecca, e ci avverte che il tragitto è pericoloso, pullulante di infedeli e banditi.;;;;;;;;x;
EVTOPTA86015;Bring guards with you;Emmener des gardes avec vous;Nehmt Wachen mit;;Llevar guardas contigo;Porteremo delle guardie con noi;;;;;;;;x;
EVTOPTB86015;Travel lightly;Voyager léger;Reist mit leichtem Gepäck;;Viajar ligero;Viaggeremo leggeri;;;;;;;;x;
EVTDESC86020;While preparing for my pilgrimage to Mecca, my child comes to me and asks if [target_child.GetSheHe] can join me.;Alors que je me préparais pour mon pèlerinage pour La Mecque, m[target_child.GetOnA] [target_child.GetSonDaughter] est venu[target_child.Get_E] me demander [target_child.GetSilSielle] pouvait m'accompagner.;Während meiner Vorbereitungen der Pilgerreise nach Mekka kommt mein Kind auf mich zu und bittet darum, sich mir anschließen zu dürfen.;;Mientras me preparaba para la peregrinación a La Meca, mi hijo se acerca y pregunta si puede unirse al viaje.;Mentre stavo preparando il mio pellegrinaggio alla Mecca, mio figlio è venuto a chiedermi se [target_child.GetSheHe] può unirsi a me.;;;;;;;;x;
EVTOPTA86020;Bring [target_child.GetHerHim] along;L'emmener avec vous;Nehmt [target_child.GetHerHim] mit;;Tráelo contigo;Porta [target_child.GetHerHim] con te;;;;;;;;x;
EVTOPTB86020;It would be too costly;Cela serait trop onéreux;Das wäre zu kostspielig;;Sería demasiado costoso;Sarebbe troppo costoso;;;;;;;;x;
EVTDESC86100;I am now fully prepared for my travel to Mecca! There will be a regent ruling [Root.PrimaryTitle.GetName] while I am away.;Je suis fin prêt pour mon voyage à La Mecque ! Pendant mon absence, un régent prendra les rênes [Root.PrimaryTitle.Get_du_Realm].;Für meine Reise nach Mekka bin ich nun vollständig vorbereitet! Ein Regent wird mein Reich regieren, während ich weg bin.;;¡Ya estoy totalmente listo para mi viaje a La Meca! Habrá un regente gobernando [Root.PrimaryTitle.GetName] en mi ausencia.;Sono pronto per partire per la Mecca! Un reggente governerà [Root.PrimaryTitle.GetName] mentre sono via.;;;;;;;;x;
EVTOPTA86100;Onwards to Mecca!;En route pour La Mecque !;Auf nach Mekka!;;¡A La Meca!;Alla Mecca!;;;;;;;;x;
EVTDESC86101;A group of bandits are tracking us, and it seems as if they are gaining on us.;Un groupe de bandits nous a pris en chasse et il semble qu'ils gagnent du terrain.;Eine Gruppe Banditen verfolgt uns und es scheint, als würden sie sich nähern.;;Un grupo de bandidos nos persigue, y parece que nos está dando alcance;Un gruppo di banditi ci sta seguendo, e sembra che stia per raggiungerci.;;;;;;;;x;
EVTOPTA86101;Attempt to avoid them!;Tenter de les semer !;Versucht, ihnen aus dem Weg zu gehen!;;¡Intenta evitarlos!;Cerchiamo di evitarli!;;;;;;;;x;
EVTOPTB86101;Its our duty to stop them..;C'est notre devoir de les arrêter.;Es ist unsere Pflicht, sie aufzuhalten ...;;Es nuestro deber detenerlos...;È nostro dovere fermarli...;;;;;;;;x;
EVTTOOLTIP86102;Me and my group of pilgrims will engage the bandits.;Mon groupe de pèlerins et moi-même allons attaquer les bandits.;Meine Gruppe von Pilgern und ich werden die Banditen beschäftigen.;;Mi grupo de peregrinos y yo nos enfrentaremos a los bandidos.;Io e il mio gruppo di pellegrini affronteremo i banditi.;;;;;;;;x;
EVTDESC86102;It is not possible to outrun these bandits, and we are forced to confront them. There is always the possibility that we can survive this.;Impossible de semer les bandits, nous sommes obligés de nous battre contre eux. Nous avons une chance sur deux de survivre à cet affrontement.;Es ist nicht möglich, diesen Banditen zu entkommen, und wir sind gezwungen, ihnen entgegenzutreten. Die Möglichkeit, dass wir dies überleben, ist immer gegeben.;;No es posible escaparse de estos bandidos, así que estamos obligados a enfrentarlos. Siempre hay la posibilidad de que sobrevivamos.;È impossibile seminare questi banditi, e siamo costretti ad affrontarli. C'è sempre la possibilità che possiamo sopravvivere.;;;;;;;;x;
EVTOPTA86102;They are few enough to defeat alone..;Ils ne sont pas nombreux, je peux les vaincre seul...;Es sind wenige genug, um sie allein zu bezwingen ... ;;Son tan pocos que puedo derrotarlos yo solo...;Sono abbastanza pochi da poter essere sconfitti..;;;;;;;;x;
EVTOPTB86102;Charge!;Chargez !;Angriff!;;¡A la carga!;Carica!;;;;;;;;x;
EVTOPTC86102;Pay them with our remaining gold.;Payer les bandits avec l'or restant.;Bezahlt sie mit Eurem verbliebenen Gold.;;Págales con lo que nos queda de oro.;Pagali con il nostro oro restante.;;;;;;;;x;
EVTDESC86105;Travelling by sea causes you to feel seasick. Luckily there is a hafiz on the ship who quotes the holy Qur'an. 'And they shall be made to drink therein a cup the admixture of which shall be ginger'.;Le voyage en mer vous rend malade. Heureusement, un hafiz voyage avec vous et il vous récite un passage du Coran. « Et là, ils seront abreuvés d'une coupe dont le mélange sera de gingembre ».;"Das Reisen mit dem Schiff führt dazu, dass Ihr seekrank seid. Glücklicherweise befindet sich ein Hafiz auf dem Schiff, der aus dem heiligen Koran zitiert. ""Und sie sollen darinnen getränkt werden mit einem Becher, gemischt mit Ingwer.""";;"Viajar por mar te causa náuseas. Por fortuna, hay un hafiz en la nave que recita el Sagrado Corán. ""Allí se les servirá una copa que contendrá una mezcla de jengibre"".";Navigare ti fa venire il mal di mare. Fortunatamente c'è un hafiz sulla nave che recita un passaggio del sacro Corano: 'E a loro fu servita loro da bere una coppa contenente un infuso di zenzero'.;;;;;;;;x;
EVTOPTA86105;I feel good!;Je me sens mieux !;Ich fühle mich gut!;;¡Me siento bien!;Mi sento meglio!;;;;;;;;x;
EVTDESC86110;As you travel over the sea, your ship spots the sails of a well-known [christian.GetGroupName] pirate. We have a faster ship, and the chance to eliminate this threat to pilgrims forever!;Durant votre voyage en mer, le capitaine aperçoit les couleurs d'un navire [christian.GetGroupName] pirate bien connu. Nous avons un navire plus rapide, et une occasion d'éliminer à tout jamais cette menace pour nos pèlerins !;Während Ihr auf einem Schiff reist, entdeckt Euer Ausguck die Segel eines bekannten [christian.GetGroupName]en Piraten. Wir haben ein schnelleres Schiff und die Chance, diese Bedrohung für die Pilger für immer auszulöschen!;;Mientras navegas por el mar, tu nave avista las velas de un muy conocido pirata [christian.GetGroupName]. ¡Tenemos una nave más rápida y la oportunidad de eliminar esta amenaza a los peregrinos de una vez por todas.!;Mentre navighi, la tua nave individua le vele di un famoso pirata [christian.GetGroupName]. Possediamo un'imbarcazione più veloce, e l'opportunità di eliminare per sempre questa minaccia per i pellegrini!;;;;;;;;x;
EVTOPTA86110;It's too great of a risk...;Cette entreprise est trop risquée...;Das Risiko ist zu groß ...;;Es un riesgo demasiado grande...;È un rischio troppo grande...;;;;;;;;x;
EVTOPTB86110;We must stop these infidels!;Nous devons stopper ces infidèles !;Wir müssen diese Ungläubigen aufhalten!;;¡Debemos detener a esos infieles!;Dobbiamo fermare questi infedeli!;;;;;;;;x;
EVTDESC86150;Nearby you see how a group of bandits have encircled a group of fellow pilgrims. It is very likely they will rob and kill them.;À proximité, vous constatez que des bandits ont encerclé un groupe de fidèles pèlerins. Ces derniers vont certainement se faire détrousser avant d'être tués.;Ihr seht, wie in der Nähe eine Gruppe von Banditen befreundete Pilger umzingelt. Es ist sehr wahrscheinlich, dass sie diese ausrauben und töten werden.;;En la cercanía divisas a un grupo de bandidos que ha rodeado a unos hermanos peregrinos. Es muy probable que los roben y los maten.;Non lontano scorgi un gruppo di banditi che ha circondato degli altri pellegrini. Molto probabilmente li deruberanno e li uccideranno.;;;;;;;;x;
EVTOPTA86150;There is nothing we can do...;On ne peut rien y faire...;Wir können nichts für sie tun ...;;No hay nada que podamos hacer...;Non c'è niente che possiamo fare...;;;;;;;;x;
EVTOPTB86150;Attempt to rescue them!;Il faut tenter de les secourir !;Versucht, sie zu retten!;;¡Intenta rescatarlos!;Cerca di soccorrerli!;;;;;;;;x;
EVTDESC86151;We got surrounded by bandits, and I was sure that I was soon going to be robbed and left for dead, when some fellow pilgrims arrived to save us.;Nous avons été encerclés par des bandits et j'étais certain qu'ils allaient nous détrousser avant de nous tuer. Mais de fidèles pèlerins nous ont porté secours.;Wir wurden von Banditen umzingelt und ich war mir sicher, dass ich in Kürze ausgeraubt und dem Tode überlassen werden würde, als einige befreundete Pilger uns zur Hilfe eilten.;;Unos bandidos nos rodearon, estaba seguro de que pronto me robarían y dejarían por muerto cuando unos compañeros peregrinos llegaron para salvarnos.;Siamo stati circondati dai banditi, e quando mi ero rassegnato all'idea di essere derubato e ucciso, ecco che altri pellegrini arrivarono a salvarci.;;;;;;;;x;
EVTOPTA86151;My brother!;Mon frère !;Mein Bruder!;;¡Hermano!;Fratelli miei!;;;;;;;;x;
EVTDESC86160;One of my servants have noticed that a hated rival is camping not far from us. I know that it is against the teachings of the prophet to attack someone on Hajj, but this is a golden opportunity.;Un serviteur a remarqué que l'un de nos ennemis jurés a établi son campement non loin du nôtre. Je sais que cela va à l'encontre des enseignements du prophète que d'attaquer un pèlerin, mais c'est une opportunité en or.;Einer meiner Bediensteten stellte fest, dass ein verhasster Rivale nicht weit von uns sein Lager aufgeschlagen hat. Ich weiß, dass es gegen die Lehren des Propheten ist, jemanden während des Haddsch anzugreifen, doch dies ist eine einmalige Gelegenheit.;;Uno de mis sirvientes ha avisado de que un enconado rival acampa no muy lejos de aquí. Sé que atacar a alguien en Hajj va en contra de las enseñanzas del profeta, pero esta es una oportunidad de oro.;Uno dei miei servitori mi ha fatto notare che un mio odiato rivale si è accampato non lontano da noi. So che attaccare qualcuno durante l'Hajj è contro gli insegnamenti del profeta, ma è un'occasione unica.;;;;;;;;x;
EVTOPTA86160;Attempt to ambush him in the night..;Lui tendre une embuscade de nuit...;Versucht ihn in der Nacht aus einem Hinterhalt zu überfallen ...;;Intenta emboscarlo en la noche...;Prova a tendergli un'imboscata durante la notte..;;;;;;;;x;
EVTTOOLTIP86161;will face our steel!;va subir notre courroux !;wird Euren Stahl zu Gesicht bekommen!;;¡sentirá nuestro acero!;Assaggerà il nostro acciaio!;;;;;;;;x;
EVTOPTB86160;Befriend him...;S'en faire un ami...;Freundet Euch mit ihm an ...;;Entablar amistad con él...;Fai amicizia con lui...;;;;;;;;x;
EVTTOOLTIP86165;will hear our invitation.;entendra notre invitation.;wird sich Eure Einladung anhören ...;;escuchará nuestra invitación.;Ascolterà il nostro invito.;;;;;;;;x;
EVTOPTC86160;I'll just ignore him.;Je vais le laisser tranquille.;Ich werde ihn einfach ignorieren.;;Lo ignoraré.;Lo ignorerò.;;;;;;;;x;
EVTDESC86161;We have been ambushed, and it seems as if it is [From.GetTitledName] who is attempting to kill you. It is an outrage, and it clear that [From.GetSheHe] is not a proper Muslim to attempt such a vile act in the darkness!;Nous avons subi une embuscade et il semble que [From.Get_le_TitledName] essaie de vous tuer. C'est un outrage et il est évident qu'aucun musulman digne de ce nom n'aurait commis un acte aussi vil en pleine nuit !;Wir wurden aus dem Hinterhalt angegriffen und es scheint sich um [From.GetTitledName] zu handeln, der versucht mich zu töten. Es ist eine Schandtat und es ist klar, dass [From.GetSheHe] kein wahrer Moslem ist, wenn [From.GetSheHe] eine solch widerwärtige Tat in der Dunkelheit versucht!;;Nos han emboscado, y pareciera que es [From.GetTitledFirstName] quien intenta matarte. Es un ultraje, queda claro que no es un verdadero musulmán, al intentar un acto tan vil en la oscuridad. ;Abbiamo subito un'imboscata e pare che sia stato [From.GetTitledName] a volerti uccidere. È oltraggioso, ed è chiaro che [From.GetSheHe] non è un autentico Musulmano se tenta di portare a termine un atto così vile nell'oscurità!;;;;;;;;x;
EVTOPTA86161;Fight back!;Se défendre !;Wehrt Euch!;;¡Contraatacad!;Reagisci all'attacco!;;;;;;;;x;
EVTTOOLTIP86162;is left for dead in the night..;est laissé pour mort au milieu de la nuit...;wird in der Nacht dem Tode überlassen ...;;se le deja por muerto en la noche...;È abbandonato alla morte nella notte..;;;;;;;;x;
EVTOPTB86161;Fight back!;Défendons-nous !;Wehrt Euch!;;¡Contraatacad!;Reagisci all'attacco!;;;;;;;;x;
EVTOPTC86161;We got enough time to run away..;Nous disposons de suffisamment de temps pour nous enfuir.;Wir haben genug Zeit, um davonzulaufen ...;;Tuvimos suficiente tiempo para huir...;Abbiamo tempo a sufficienza per fuggire..;;;;;;;;x;
EVTDESC86162;Our ambush ended in disaster... Not only did [From.GetTitledName] get away, but [From.GetSheHe] also injured me severely.;Notre embuscade a tourné au désastre... Non seulement [From.Get_le_TitledName] a réussi à s'enfuir, mais [From.GetIlElle] m'a aussi infligé de graves blessures.;Unser Hinterhalt endete in einem Desaster ... [From.GetTitledName] konnte fliehen und [From.GetSheHe] hat es außerdem noch irgendwie geschafft, mich ernsthaft zu verletzen.;;Nuestra emboscada fue un desastre... [From.GetTitledFirstName] no soloescapó, sino que me hirió de gravedad.;La nostra imboscata è stata un disastro... non solo [From.GetTitledName] è fuggito, ma [From.GetSheHe] mi ha anche ferito gravemente.;;;;;;;;x;
EVTOPTA86162;[From.GetTitledName] got the best of me..;[From.Get_Le_TitledName] a eu le dessus...;[From.GetTitledName] hat mich ausgetrickst ..;;[From.GetTitledFirstName] me superó...;[From.GetTitledName] mi ha sconfitto..;;;;;;;;x;
EVTDESC86163;Success!\nI've left [From.GetTitledName], bleeding severely, to die in the desert...;Victoire !\nJ'ai abandonné le corps [From.Get_du_TitledName] dans le désert, saignant abondamment...;Erfolg!\nIch habe [From.GetTitledName] ernsthaft blutend in der Wüste zurückgelassen, damit er dort stirbt ... ;;¡Victoria!\nHe dejado a [From.GetTitledName] sangrando profusamente, para que muera en el desierto...;Successo!\nHo abbandonato [From.GetTitledName] a morire nel deserto, ferito gravemente...;;;;;;;;x;
EVTOPTA86163;[From.GetSheHeCap] will surely die soon enough..;[From.GetIlElleCap] quittera le monde des vivants bien assez tôt...;[From.GetSheHeCap] wird sicherlich bald sterben ...;;Seguramente morirá pronto...;[From.GetSheHeCap] sicuramente morirà presto...;;;;;;;;x;
EVTDESC86164;It seems that [From.GetTitledName] got away in the quiet of the night...;Il semble que [From.Get_le_TitledName] s'est échappé dans le silence de la nuit.;Es scheint, als hätte sich [From.GetTitledName] in der Stille der Nacht davongestohlen ...;;Parece que [From.GetTitledFirstName] ha huido en el silencio de la noche...;Sembra che [From.GetTitledName] sia fuggito nel cuore della notte...;;;;;;;;x;
EVTOPTA86164;It can't be helped...;C'est inévitable...;Daran lässt sich nichts ändern ...;;Nada puede hacerse...;Non posso farci niente...;;;;;;;;x;
EVTDESC86165;A messenger comes with an invitation from [From.GetTitledName] who is camped not far from us, offering to break bread and reconcile our differences.;Un messager est venu transmettre une invitation de la part [From.Get_du_TitledName] dont le camp est établi non loin du nôtre. Il nous invite à faire la paix et à nous réconcilier.;Ein Bote kommt mit einer Einladung von [From.GetTitledName], der nicht weit von uns sein Lager aufgeschlagen hat. Er bietet an, das Brot mit mir zu brechen und in einem Gespräch unsere Differenzen beizulegen.;;Un mensajero viene con una invitación de [From.GetTitledFirstName], quien acampa no muy lejos de nosotros y nos invita a compartir el pan y solucionar nuestras diferencias.;Un messaggero arriva con un invito da parte di [From.GetTitledName] accampato non lontano da qui, offrendoci di condividere il pasto e riconciliare le nostre divergenze.;;;;;;;;x;
EVTOPTA86165;We are allies in the faith after all..;Nous sommes de la même foi, après tout...;Wir sind schließlich Brüder im Glauben ...;;Somos hermanos en la fe después de todo...;Siamo alleati nella fede, dopotutto...;;;;;;;;x;
EVTOPTB86165;Politely Decline...;Décliner poliment...;Lehnt höflich ab ...;;Declinar cortésmente...;Rifiuta cortesemente...;;;;;;;;x;
EVTDESC86166;[From.GetTitledName] has joined our camp and we are breaking bread together, reconciling our differences.;[From.Get_Le_TitledName] a rejoint notre campement pour partager un repas et nous réconcilier.;[From.GetTitledName] hat sich unserem Lager angeschlossen. Wir brechen das Brot und legen unsere Differenzen bei.;;[From.GetTitledFirstName] se ha unido a nuestro campamento y estamos compartiendo el pan y solucionando nuestras diferencias.;[From.GetTitledName] ha raggiunto il nostro accampamento e ora stiamo condividendo il pasto, riconciliando le nostre divergenze.;;;;;;;;x;
EVTOPTA86166;Subhan'Allah;Gloire à Allah;Subhan'Allah;;Subhan'Allah;Subhan'Allah;;;;;;;;x;
