#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x;
PLOT_POWER_CONTRIB_LOWER_THAN;Contribution to $PLOTTER$'s plot to $PLOT$ less than §Y$POWER$%§!\n;Contribution au complot de $PLOTTER$ pour $PLOT$ est inférieure à §Y$POWER$%§!\n;Beteiligung an $PLOTTER$s Plan zum $PLOT$ geringer als §Y$POWER$%§!\n ;;Contribución al complot de $PLOTTER$ sobre $PLOT$ inferior a §Y$POWER$%§!\n;Contributo al complotto di $PLOTTER$ per $PLOT$ inferiore a §Y$POWER$%§!\n;;;;;;;;x;
HAVNT_CONQUEST_CULTURE;Is NOT subjugated by §Y$CULTURE$§! Culture\n;N'est pas soumis à la culture §Y$CULTURE$§!.\n;Wird NICHT von der §Y$CULTURE$§!-Kultur unterworfen\n;;NO está sometido por la cultura §Y$CULTURE$§!\n;NON è soggiogato alla Cultura §Y$CULTURE$§!\n;;;;;;;;x;
DISMISS_ALLOW_DESCRIPTION;Can be dismissed if the following is true:\n;Peut être renvoyé si l'une des propositions suivantes est vraie : \n;Kann ignoriert werden, falls das Folgende zutrifft:\n;;Puede ser destituido si se cumple lo siguiente:\n;Può essere destituito se si è verificata una delle seguenti condizioni:\n;;;;;;;;x;
DIPLO_OF_POPE;Religious Head Diplomacy;Diplomatie religieuse;Diplomatie des Religiösen Oberhauptes;;Diplomacia de la Cabeza Religiosa;Capo della Diplomazia religioso;;;;;;;;x;
INTERACTION_REQUIRES_FEWER_WIVES;§Y$CHAR$§W has fewer than §Y$NUM$§W wives;§Y$CHAR$§W a moins de §Y$NUM$§W épouses.;§Y$CHAR$§W hat weniger als §Y$NUM$§W Ehefrauen;;§Y$CHAR$§W tiene menos de §Y$NUM$§W esposas;§Y$CHAR$§W ha meno di §Y$NUM$§W mogli;;;;;;;;x;
INTERACTION_REQUIRES_NO_OTHER_MARRIAGE;§Y$CHAR$§W is unmarried;§Y$CHAR$§W n'est pas marié.;§Y$CHAR$§W ist unverheiratet;;§Y$CHAR$§W está soltero;§Y$CHAR$§W non è sposato.;;;;;;;;x;
INTERACTION_REQUIRES_NO_TRUCE_OR_REV_REASON;Must have a special revoke reason if we have a Truce;Doit avoir une raison spéciale de révoquer le titre si nous sommes en période de trêve.;Muss einen besonderen Widerrufsgrund haben, falls wir einen Waffenstillstand haben;;Debe existir una razón especial de revocación si hay tregua;Devi avere una ragione speciale per revocare il titolo mentre è in vigore una Tregua;;;;;;;;x;
INTERACTION_VALID_REASON;Since you have a valid reason, no one will care.;Vous avez une bonne raison, alors personne ne s'en souciera.;Da Ihr einen triftigen Grund habt, wird es keine Seele kümmern.;;Como tienes una razón válida, a nadie le importará.;Dal momento che hai una buona ragione per farlo, nessuno se ne curerà.;;;;;;;;x;
tribal_invasion_desc;We do not need to bother with just causes - might makes right! §Y$CLAIMANT$§! can invade the lands of §Y$TARGET$§!. If successful, the titles to all currently occupied holdings will be seized and all vassals will become our vassals.;Inutile de s'embêter à trouver de justes casus belli, la force fait loi ! §Y$CLAIMANT$§! peut envahir les terres de §Y$TARGET$§!. S'il réussit, les titres de toutes les propriétés occupées par ses troupes seront saisis et les autres seigneurs passeront sous son autorité.;Wir brauchen uns nicht mit gerechten Gründen befassen – Macht geht vor Recht! §Y$CLAIMANT$§! kann in die Länder von §Y$TARGET$§! einmarschieren. Falls dies erfolgreich ist, werden alle derzeit besetzten Besitztümer beschlagnahmt und alle Vasallen werden zu unseren Vasallen.;;¡No hemos de preocuparnos por la justicia de las causas! ¡La fuerza otorga el derecho! §Y$CLAIMANT$§! puede invadir las tierras de §Y$TARGET$§!. De tener éxito, los títulos de todas las propiedades ocupadas se confiscarán y todos sus vasallos se convertirán en nuestros vasallos.;Non dobbiamo preoccuparci di avere delle buone ragioni, perché la ragione sta dalla parte dei forti! §Y$CLAIMANT$§! può invadere le terre di §Y$TARGET$§!. Se avrà successo, i titoli di tutti i possedimenti occupati saranno conquistati e tutti i loro Vassalli diventeranno nostri Vassalli.;;;;;;;;x;
decadence_invasion_desc;We do not need to bother with just causes - might makes right! §Y$CLAIMANT$§! can invade the lands of §Y$TARGET$§!.;Inutile de s'embêter à trouver de justes casus belli, la force fait loi ! §Y$CLAIMANT$§! peut envahir les terres de §Y$TARGET$§!. ;Wir brauchen uns nicht mit gerechten Gründen befassen – Macht geht vor Recht! §Y$CLAIMANT$§! kann in die Länder von §Y$TARGET$§! einmarschieren.;;¡No hemos de preocuparnos por la justicia de las causas! ¡La fuerza otorga el derecho! §Y$CLAIMANT$§! puede invadir las tierras de §Y$TARGET$§!.;Non dobbiamo preoccuparci di avere delle buone ragioni, perché la ragione sta dalla parte dei forti! §Y$CLAIMANT$§! può invadere le terre di §Y$TARGET$§!.;;;;;;;;x;
title_food_taster;Food Taster;Goûteur;Vorkoster;;Catador;Assaggiatore;;;;;;;;x;
title_food_taster_desc;Food tasters have the dubious pleasure of trying all dishes before their master has a bite...;Le goûteur jouit du plaisir aléatoire de tester tous les plats avant que ceux-ci ne soient servis à son maître...;Vorkoster haben das fragwürdige Vergnügen, alle Speisen zu probieren, bevor ihr Herr den ersten Bissen nimmt...;;Los catadores tienen el dudoso placer de catar todos los platos antes de que su amo los pruebe...;Gli assaggiatori hanno il dubbio piacere di provare tutti i piatti prima che vengano serviti al loro signore...;;;;;;;;x;
title_court_calligrapher;Court Calligrapher;Calligraphe;Hofkalligraph;;Calígrafo de la corte;Calligrafo di Corte;;;;;;;;x;
title_court_calligrapher_desc;Islamic suspicion of figurative art makes skilled calligraphers highly respected.;L'art figuratif étant perçu comme une transgression par l'islam, les calligraphes expérimentés sont hautement respectés.;Die islamische Zurückhaltung bei der figurativen Kunst verschafft erfahrenen Kalligraphen hohes Ansehen.;;La sospecha islámica del arte figurativo hace que los calígrafos expertos gocen de gran respeto.;Il sospetto che l'Islam nutre per l'arte figurativa ha prodotto una scuola di Calligrafi, fra gli artisti più rispettati.;;;;;;;;x;
title_court_musician;Court Musician;Musicien de la Cour;Hofmusiker;;Músico de la corte;Musico di Corte;;;;;;;;x;
title_court_musician_desc;The Court Musician is always ready to entertain with soothing or stirring music.;Le musicien est toujours prêt à divertir la Cour avec ses mélodies parfois apaisantes, parfois entraînantes.;Der Hofmusiker ist immer bereit, mit sanfter oder ergreifender Musik zu unterhalten.;;El músico de la corte siempre está listo para entretener con música relajante o conmovedora.;Il Musico di Corte è sempre pronto ad intrattenere con le sue melodie a volte rilassanti, a volte commoventi...;;;;;;;;x;
title_court_poet;Court Poet;Poète;Hofdichter;;Poeta de la corte;Poeta di Corte;;;;;;;;x;
title_court_poet_desc;Islamic poets enjoy a great deal of respect and prestige, often religious, but sometimes pushing the limits of what is acceptable under Islam.;Les poètes islamiques jouissent d'un fort respect et d'un grand prestige. Traitant souvent du thème de la religion, il leur arrive parfois de repousser les limites de ce que l'islam perçoit comme acceptable.;Islamische Dichter erlangen großen Ruhm und Ansehen, oft religiöser Natur, aber manchmal gehen sie über die Grenzen des im Islam Erlaubten hinaus.;;Los poetas islámicos disfrutan de gran respeto y prestigio, a menudo religiosos, pero a veces rozan los límites de lo aceptable para el Islam.;I poeti islamici godono di grande rispetto e prestigio, cantando spesso di temi religiosi, ma spingendosi a volte oltre i limiti i ciò che è consentito loro dalla dottrina coranica.;;;;;;;;x;
title_chief_architect;Chief Architect;Maître-architecte;Chef-Architekt;;Arquitecto Jefe;Capo Architetto;;;;;;;;x;
title_chief_architect_desc;The Chief Architect is responsible for designing and overseeing the construction of palaces, mosques and grand monuments.;Le maître-architecte est chargé de la création et de la surveillance de la construction des palais, mosquées et autres grands monuments.;Der Chef-Architekt ist für die Planung und Beaufsichtigung beim Bau von Palästen, Moscheen und großen Denkmälern verantwortlich.;;El Arquitecto Jefe es responsable de diseñar y supervisar la construcción de palacios, mezquitas y grandes monumentos.;Il Capo Architetto è responsabile della progettazione e della supervisione della costruzione di palazzi, moschee e grandiosi monumenti.;;;;;;;;x;
title_chief_qadi;Chief Qadi;Cadi;Ober-Kadi;;Cadí Jefe;Capo Qadi;;;;;;;;x;
title_chief_qadi_desc;The Chief Qadi is the supreme judge and authority of the Law (Sharia) in the realm. The most prestigious of all Muslim honorary titles, it is only open to characters with a proper religious education.;Le cadi est le juge suprême et fait figure de représentant de la loi (charia) au sein du pays. Plus prestigieux des titres honorifiques musulmans, cette fonction n'est accessible qu'aux personnes bénéficiant d'une éducation religieuse bien spécifique.;Der Ober-Kadi ist der oberste Richter und die Autorität des Gesetzes (Sharia) im Reich. Der renommierteste aller muslimischen Ehrentitel steht nur Charakteren offen, die einen angemessenen Religionsunterricht genossen haben.;;El Cadí Jefe es el juez supremo y autoridad de la ley (Sharia) en el dominio. Es el más prestigioso de los títulos honorarios musulmanes, solo disponible a personajes con la debida educación religiosa.;Il Capo Qadi è, nel reame, il supremo giudice e interprete della legge (Sharia). Il più prestigioso di tutti i titoli onorifici Musulmani, può essere conferito solo ai personaggi con una adeguata educazione religiosa.;;;;;;;;x;
title_court_dwarf;Court Dwarf;Nain de la Cour;Hofzwerg;;Enano de la corte;Nano di Corte;;;;;;;;x;
title_court_dwarf_desc;Dwarves are objects of fascination and curiosity. Having one at court is a matter of prestige.;Les nains suscitent à la fois fascination et curiosité. Posséder un nain à sa Cour est une marque de prestige.;Zwerge sind Objekte der Faszination und Neugier. Einen am Hof zu beschäftigen, ist eine Frage des Ansehens.;;Los enanos son objeto de fascinación y curiosidad. Tener uno en la corte es cuestión de prestigio.;I nani sono oggetto di fascinazione e curiosità. Averne uno a corte è una questione di prestigio.;;;;;;;;x;
job_spiritual_muslim;Court Imam;Imam de la Cour;Hof-Imam;;Imán de la corte;Imam di Corte;;;;;;;;x;
job_spiritual_shiite;Court Mullah;Mollah de la Cour;Hof-Mullah;;Mulá de la corte;Mullah di Corte;;;;;;;;x;
job_chancellor_iranian;Grand Vizier;Grand vizir;Großwesir;;Gran Visir;Gran Visir;;;;;;;;x;
job_chancellor_turkish;Grand Vizier;Grand vizir;Großwesir;;Gran Visir;Gran Visir;;;;;;;;x;
PROV911;Timbuktu;Tombouctou;Timbuktu;;Tombuctú;Timbuctù;;;;;;;;x;
PROV912;Aoudaghost;Aoudaghost;Aoudaghost;;Audaghost;Awdaghust;;;;;;;;x;
PROV914;Gao;Gao;Gao;;Gao;Gao;;;;;;;;x;
PROV915;Djenné;Djenné;Djenné;;Djenné;Djenné;;;;;;;;x;
PROV916;Taghaza;Teghazza;Taghaza;;Taghaza;Taghaza;;;;;;;;x;
PROV917;Araouane;Araouane;Araouane;;Araouane;Araouane;;;;;;;;x;
PROV918;Sijilmasa;Sijilmasa;Sijilmasa;;Sijilmasa;Sijilmasa;;;;;;;;x;
PROV919;Oualata;Oualata;Oualata;;Oualata;Oualata;;;;;;;;x;
PROV920;Ouadane;Ouadane;Ouadane;;Ouadane;Ouadane;;;;;;;;x;
PROV922;Tadmekka;Tadamakat;Tadmekka;;Tadmekka;Tadmekka;;;;;;;;x;
PROV923;Adrar Plateau;Plateau de l'Adrar;Adrar-Plateau;;Adrar;Adrar di Mauritania;;;;;;;;x;
PROV924;Western Sahara;Sahara occidental;Westsahara;;Sáhara Occidental;Sahara Occidentale;;;;;;;;x;
PROV926;Bambuk;Bambouk;Bambuk;;Bambuk;Bambuk;;;;;;;;x;
PROV928;Gurma;Gourmantché;Gurma;;Gurma;Gurma;;;;;;;;x;
e_persia;Persian Empire;Empire perse;Persisches Reich;;Imperio persa;Impero Persiano;;;;;;;;x;
e_persia_adj;Persian;persanne;Persisch;;Persa;Persiana;;;;;;;;x;
e_arabia;Arabian Empire;Empire arabe;Arabisches Reich;;Imperio árabe;Impero Arabo;;;;;;;;x;
e_arabia_adj;Arabian;arabe;Arabisch;;Árabe;Araba;;;;;;;;x;
k_volga_bulgaria;Volga Bulgaria;Bulgarie de la Volga;Wolga-Bulgarien;;Bulgaria del Volga;Bulgaria del Volga;;;;;;;;x;
k_volga_bulgaria_adj;Volga Bulgarian;volgo-bulgare;Wolga-Bulgarisch;;Búlgaro del Volga;Bulgara del Volga;;;;;;;;x;
k_perm;Perm;Perm;Perm;;Perm;Permia;;;;;;;;x;
k_perm_adj;Permian;permienne;Permisch;;Permio;Permiana;;;;;;;;x;
k_taurica;Taurica;Tauride;Taurika;;Táurica;Tauride;;;;;;;;x;
k_taurica_adj;Taurican;taurique;Taurisch;;Táurico;Taurica;;;;;;;;x;
k_alania;Alania;Alanie;Alanien;;Alania;Alania;;;;;;;;x;
k_alania_adj;Alanian;alanienne;Alanisch;;Alano;Alana;;;;;;;;x;
e_britannia;Britannia;Grande-Bretagne;Britannien;;Bretaña;Britannia;;;;;;;;x;
e_britannia_adj;British;britannique;Britisch;;Bretón;Britannica;;;;;;;;x;
e_spain;Hispania;Hispanie;Hispanien;;Hispania;Ispania;;;;;;;;x;
e_spain_adj;Hispanian;hispanique;Hispanisch;;Hispañol;Ispanica;;;;;;;;x;
west_african;West African;ouest-africain;Westafrikanisch;;Africano occidental;Africana Occidentale;;;;;;;;x;
manden;Mandé;mandée;Mandé;;Mandé;Mandé;;;;;;;;x;
k_byzantium;Greece;Grèce;Griechenland;;Grecia;Grecia;;;;;;;;x;
k_byzantium_adj;Greek;grecque;Griechisch;;Griego;Greca;;;;;;;;x;
k_anatolia;Anatolia;Anatolie;Anatolien;;Anatolia;Anatolia;;;;;;;;x;
k_anatolia_adj;Anatolian;anatolienne;Anatolisch;;Anatolio;Anatolica;;;;;;;;x;
k_ruthenia;Ruthenia;Ruthénie;Ruthenien;;Rutenia;Rutenia;;;;;;;;x;
k_ruthenia_adj;Ruthenian;ruthène;Ruthenisch;;Ruteno;Ruteniana;;;;;;;;x;
e_russia;Empire of Rus;Empire de Rus;Reich von Rus;;Imperio de Rus;Russia;;;;;;;;x;
e_russia_adj;Russian;russe;Russisch;;Ruso;Russa;;;;;;;;x;
e_scandinavia;Scandinavia;Scandinavie;Skandinavien;;Escandinavia;Scandinavia;;;;;;;;x;
e_scandinavia_adj;Scandinavian;scandinave;Skandinavisch;;Escandinavo;Scandinava;;;;;;;;x;
e_france;Francia;France;Frankreich;;Francia;Francia;;;;;;;;;x
e_france_adj;French;française;Französisch;;Francés;Francese;;;;;;;;x;
mujahid;Mujahid;Moudjahid;Mudschahed;;Muyaidín;Mujahid;;;;;;;;x;
mujahid_desc;This character is a veteran of a Jihad.;Ce personnage est un vétéran du djihad.;Dieser Charakter ist ein Veteran des Dschihad;;Este personaje es un veterano de la yihad.;Questo personaggio è un esperto della Jihad.;;;;;;;;x;
hajjaj;Hajajj;Hâjjî;Haddsch;;Hajj;Hajjaj;;;;;;;;x;
hajjaj_desc;This character has made the Hajj - the pilgrimage to Mecca.;Ce personnage a fait le hajj, le pèlerinage à La Mecque.;Dieser Charakter hat den Haddsch - die Pilgerfahrt nach Mekka vollzogen.;;Este personaje ha realizado el Hajj: la peregrinación a La Meca;Questo personaggio ha svolto l'Hajj, il pellegrinaggio islamico alla Mecca.;;;;;;;;x;
on_hajj;On Hajj;En pèlerinage;Auf Haddsch;;En el Hajj;In Hajj;;;;;;;;x;
on_hajj_desc;This character is on a pilgrimage to Mecca.;Ce personnage est en pèlerinage à La Mecque.;Dieser Charakter ist auf Pilgerreise nach Mekka.;;Este personaje está de peregrinación a La Meca.;Questo personaggio è in pellegrinaggio verso la Mecca.;;;;;;;;x;
faqih;Faqih;Faqih;Faqih;;Faqih;Faqih;;;;;;;;x;
faqih_desc;This character is formally schooled in Islamic jurisprudence.;Ce personnage est juriste islamique.;Dieser Charakter wird formal in islamischer Rechtsprechung geschult.;;Este personaje ha sido educado formalmente en la jurisprudencia Islámica.;Questo personaggio è formalmente istruito nella giurisprudenza islamica.;;;;;;;;x;
hafiz;Hafiz;Hafiz;Hafiz;;Hafiz;Hafiz;;;;;;;;x;
hafiz_desc;This character has completely memorized the Qur'an.;Ce personnage connaît le Coran par coeur.;Dieser Charakter hat den Koran vollständig auswendig gelernt.;;Este personaje ha memorizado completamente el Corán;Questo personaggio ha imparato a memoria l'intero Corano.;;;;;;;;x;
sayyid;Sayyid;Sayyid;Sayyid;;Sayyid;Sayyid;;;;;;;;x;
sayyid_desc;This character is patrilineally descended from the Prophet Muhammad's uncles al-Abbas and Abu Talib, or from the sons of his daughter Fatimah - Hasan ibn Ali and Husain ibn Ali.;Ce personnage descend, d'un point de vue patrilinéaire, des oncles du Prophète Mahomet, al-Abbas et Abu Talib, ou des fils de sa soeur Fatima, Hasan ibn Ali et Husain ibn Ali.;Dieser Charakter stammt patrilinear von al-Abbas und Abu Talibden, den Onkeln des Propheten Mohammed, oder von den Söhnen seiner Tochter Fatimah - Hasan ibn Ali und Husain ibn Ali-ab.;;Este personaje desciende de la línea paterna de los tíos del Profeta Mahoma, al-Abbas y Abu Talib, o de los hijos de su hermana Fátima, Hasan ibn Ali y Husain ibn Ali.;Questo personaggio discende, per via paterna, dagli zii del profeta Maometto, al-Abbas e Abu Talib, o dai figli di sua figlia Fatima, Hasan ibn Ali e Husain ibn Ali.;;;;;;;;x;
mirza;Mirza;Mirza;Mirza;;Mirza;Mirza;;;;;;;;x;
mirza_desc;The mother of this character is a Sayyida (patrilineally descended from the Prophet Muhammad).;La mère de ce personnage est une Sayyida (elle descend d'un point de vue patrilinéaire du Prophète Mahomet).;Die Mutter dieses Charakters ist eine Sayyida (patrilinear vom Propheten Mohammed abstammend).;;La madre de este personaje es una Sayyida (descendiente por línea paterna del Profeta Mahoma).;La madre di questo personaggio è una Sayyida (discendente per via paterna dal Profeta Maometto);;;;;;;;x;
scarred;Scarred;Balafres;Vernarbt;;Señalado;Sfregiato;;;;;;;;x;
scarred_desc;Old wounds have left this character visibly scarred.;D'anciennes blessures ont laissé sur ce personnage des balafres.;Alte Wunden haben diesen Charakter sichtlich vernarbt.;;Las viejas heridas han dejado visibles cicatrices en este personaje.;Vecchie ferite hanno lasciato su questo personaggio una visibile cicatrice.;;;;;;;;x;
pilgrim;Pilgrim;Pèlerin;Pilger;;Peregrino;Pellegrino;;;;;;;;x;
pilgrim_desc;The character has completed a great pilgrimage.;Ce personnage a terminé un grand pèlerinage.;Der Charakter hat eine große Pilgerreise beendet.;;Este personaje ha completado una gran peregrinación.;Questo personaggio ha terminato un grande pellegrinaggio.;;;;;;;;x;
MUSLIM_VIEW;$TRAIT$: $VALUE$;$TRAIT$ : $VALUE$;$TRAIT$: $VALUE$;;$TRAIT$: $VALUE$;$TRAIT$: $VALUE$;;;;;;;;x;
AIREASON_IS_HIGHER_RANK_SPOUSE;§Y[GetTitledFirstName]§! is my Spouse and higher ranked;§Y[GetTitledFirstName]§! est mon épouse de plus haut rang.;§Y[GetTitledFirstName]§! ist mein Ehepartner und höheren Ranges;;§Y[GetTitledFirstName]§! es mi cónyuge y de rango más alto;§Y[GetTitledFirstName]§! è il mio Coniuge e di rango superiore;;;;;;;;x;
FIGHTING_ANOTHER_WAR;Busy fighting another war;Mène déjà une autre guerre.;Damit beschäftigt, in einem anderen Krieg zu kämpfen;;Ocupado en otra guerra;Occupato a combattere un'altra guerra;;;;;;;;x;
empire;Empire;Empire;Reich;;Imperio;Impero;;;;;;;;x;
kingdom;Kingdom;Royaume;Königreich;;Reino;Regno;;;;;;;;x;
duchy;Duchy;Duché;Herzogtum;;Ducado;Ducato;;;;;;;;x;
county;County;Comté;Grafschaft;;Condado;Contea;;;;;;;;x;
barony;Barony;Baronnie;Baronie;;Baronía;Baronia;;;;;;;;x;
city_empire;Principality;Principauté;Fürstentum;;Principado;Principato;;;;;;;;x;
city_kingdom;Most Serene Republic;République Sérénissime;Die durchlauchtigste Republik;;Serenísima República;Serenissima Repubblica;;;;;;;;x;
city_duchy;Republic;République;Republik;;República;Repubblica;;;;;;;;x;
city_county;Grand City;Grande cité;Prachtvolle Stadt;;Gran Ciudad;Grande Città;;;;;;;;x;
city_barony;City;Cité;Stadt;;Ciudad;Città;;;;;;;;x;
temple_kingdom_catholic;Theocracy;Théocratie;Theokratie;;Teocracia;Teocrazia;;;;;;;;x;
temple_kingdom_orthodox;Patriarchate;Patriarcat;Patriarchat;;Patriarcado;Patriarcato;;;;;;;;x;
temple_kingdom_muslim;Caliphate;Califat;Kalifat;;Califato;Califfato;;;;;;;;x;
temple_kingdom_pagan_group;Theocracy;Théocratie;Theokratie;;Teocracia;Teocrazia;;;;;;;;x;
temple_duchy_christian;Prince-Archbishopric;Archevêché princier;Erzbistum;;Arzobispado;Arcivescovado;;;;;;;;x;
temple_duchy_muslim;Theocracy;Théocratie;Theokratie;;Teocracia;Teocrazia;;;;;;;;x;
temple_duchy_pagan_group;Theocracy;Théocratie;Theokratie;;Teocracia;Teocrazia;;;;;;;;x;
temple_county_christian;Prince-Bishopric;Évêché princier;Bistum;;Obispado;Vescovado;;;;;;;;x;
temple_county_muslim;Sheikhdom;Cheikat;Scheichtum;;Dominio del Jeque;Sceiccato;;;;;;;;x;
temple_county_pagan_group;Theocracy;Théocratie;Theokratie;;Teocracia;Teocrazia;;;;;;;;x;
temple_barony_christian;Bishopric;Évêché;Abtei;;Obispado;Diocesi;;;;;;;;x;
temple_barony_muslim;Mosque;Mosquée;Scheichtum;;Dominio del Jeque;Moschea;;;;;;;;x;
temple_barony_pagan_group;Temple;Temple;Tempel;;Templo;Tempio;;;;;;;;x;
count_arabic_female;Shaykhah;Cheika;Shaykhah;;Jequesa;Sceicca;;;;;;;;x;
empire_altaic;Khaganate;Khaganat;Khaganat;;Khaganato;Khaganato;;;;;;;;x;
kingdom_altaic;Khanate;Khanat;Khanat;;Kanato;Khanato;;;;;;;;x;
barony_arabic;Wilayah;Wilaya;Wilayah;;Vilayato;Wilaya;;;;;;;;x;
county_arabic;Sheikhdom;Cheikat;Scheichtum;;Dominio del Jeque;Sceiccato;;;;;;;;x;
duchy_arabic;Emirate;Émirat;Emirat;;Emirato;Emirato;;;;;;;;x;
kingdom_arabic;Sultanate;Sultanat;Sultanat;;Sultanato;Sultanato;;;;;;;;x;
barony_turkish;Timar;Timar;Timar;;Timar;Timar;;;;;;;;x;
county_turkish;Beylik;Beylicat;Beylik;;Beylik;Beylik;;;;;;;;x;
duchy_turkish;Beylerbeylik;Beylerbeylicat;Beylerbeylik;;Beylerbeylik;Beylerbeylik;;;;;;;;x;
kingdom_turkish;Sultanate;Sultanat;Sultanat;;Sultanato;Sultanato;;;;;;;;x;
barony_mongol;Taishi;Taïshi;Taishi;;Taishi;Taishi;;;;;;;;x;
county_mongol;Chiefdom;Chefferie;Häuptlingstum;;Cacicazgo;Capitanato;;;;;;;;x;
duchy_mongol;High Chiefdom;Grande chefferie;Oberhäuptlingstum;;Alto Cacicazgo;Gran Capitanato;;;;;;;;x;
count_west_african;Farin;Farin;Farin;;Farín;Farin;;;;;;;;x;
count_female_west_african;Farina;Farina;Farina;;Farina;Farina;;;;;;;;x;
duke_west_african;Farbas;Farbas;Farbas;;Farbas;Farbas;;;;;;;;x;
duke_female_west_african;Farba;Farba;Farba;;Farba;Farba;;;;;;;;x;
king_west_african;Mansa;Mansa;Mansa;;Mansa;Mansa;;;;;;;;x;
PRETENDER_TO;Pretender and Claimant to the $TITLE$;Prétendant et candidat au titre de $TITLE$;Anwärter und Anspruchsteller für $TITLE$;;Pretendiente y solicitante del $TITLE$;Pretendente e Rivendicatore del titolo di $TITLE$;;;;;;;;x;
one_celibate;Pleasures in the after-life: Celibacy;Plaisirs de l'au-delà : célibat;Vergnügen im Nachleben: Das Zölibat;;Placeres en la otra vida: Celibato;Piaceri oltremondani: Castità;;;;;;;;x;
one_hedonist;Pleasures in life: Hedonism;Plaisirs de la vie : hédonisme;Vergnügen im Leben: Hedonismus;;Placeres en vida: Hedonismo;Piaceri mondani: Edonismo;;;;;;;;x;
opinion_adopted_foreign_ways;Adopted Foreign Ways;Coutumes étrangères adoptées;Angenommene Fremde Sitten;;Ha adoptado costumbres extranjeras;Adotta Costumi Stranieri;;;;;;;;x;
opinion_nomuslim;Not a True Believer;Pas un vrai croyant;Kein Wahrer Gläubiger;;No un creyente verdadero;Non è un Vero Credente;;;;;;;;x;
opinion_brother_muslim;My Brother;Mon frère;Mein Bruder;;Mi hermano;Mio fratello;;;;;;;;x;
opinion_half_brother_muslim;My Half-Brother;Mon demi-frère;Mein Halbbruder;;Mi hermanastro;Mio fratellastro;;;;;;;;x;
