#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
HOLD_ELECTION_EFFECT;An election is held in $TITLE$.\n;Une élection se tient en $TITLE$.\n;In $TITLE$.\n wird gewählt.;;Elección en $TITLE$.\n;Una elezione in corso in $TITLE$.\n;;;;;;;;x
EVTDESC39101;A new Christian military order has been founded by a small group of wealthy knights. The Poor Fellow-Soldiers of Christ and of the Temple of Solomon - or the Knights Templar for short - have sworn to protect pilgrims travelling through the Holy Land. The [Root.Religion.GetName] church fully endorses the Order, and this will allow pious [Root.Religion.GetName] rulers to call on their aid, though they will only fight against heretics and infidels.;Un nouvel ordre militaire chrétien a été fondé par un groupe de huit chevaliers.\nLes Pauvres Chevaliers du Christ et du Temple de Salomon, également appelés Templiers, ont juré de protéger les pèlerins se rendant en Terre sainte.\nL'Église [Root.Religion.GetName] a légitimé cet ordre par le concile de Troyes et autorise ainsi les pieux seigneurs [Root.GetReligionMascPl] à solliciter leur aide, bien que l'Ordre du Temple se refusera à combattre d'autres [Root.GetReligionMascPl].;Eine kleine Gruppe wohlhabender Ritter hat einen neuen christlichen Militärorden gegründet. Die Arme Ritterschaft Christi und des salomonischen Tempels zu Jerusalem, oder kurz Tempelritter, haben geschworen, die durch das Heilige Land reisenden Pilger zu beschützen. Die [Root.Religion.GetName]e Kirche steht hinter dem Orden und gestattet gottesfürchtigen [Root.Religion.GetName]en Herrschern, sie um Unterstützung zu bitten. Gegen [Root.Religion.GetName]e Glaubensbrüder aber ziehen sie nicht zu Felde.;;Un pequeño grupo de caballeros ricos ha fundado una nueva orden militar cristiana. Los Pobres Caballeros de Cristo y del Templo de Salomón, o Caballeros Templarios de modo abreviado, han jurado proteger a los peregrinos que viajen por Tierra Santa. La iglesia [Root.Religion.GetName] apoya totalmente la Orden y permitirá que los gobernantes [Root.Religion.GetName] devotos les pidan ayuda, pero la Orden no luchará contra otros [Root.Religion.GetName]s.;Un nuovo ordine militare Cristiano è stato fondato da un piccolo gruppo di agiati cavalieri. I Poveri Compagni d'armi di Cristo e del Tempio di Salomone - o in breve i Cavalieri Templari - hanno giurato di proteggere i pellegrini in viaggio verso la Terrasanta. La Chiesa [Root.Religion.GetName] dà il suo pieno appoggio all'Ordine e questo consentirà ai Sovrani di fede [Root.Religion.GetName] di chiedere il loro aiuto, anche se essi combatteranno solo contro gli eretici ed gli infedeli.;;;;;;;;x
EVTDESC39102;The Order of Brothers of the German House of Saint Mary in Jerusalem has been formed, sponsored by the [Root.Religion.GetName] Church and the Holy Roman Emperor. The Teutonic Order, much like the Knights of St. John and the Knights Templar, primarily protect and care for pilgrims to the Holy Land, but will serve any [Root.Religion.GetName] ruler willing to pay for their upkeep. Being a religious order, they will only fight against heretics and infidels.;L'Ordre de la Maison de Sainte-Marie-des-Teutoniques, ou Ordre Teutonique, a été formé par un groupe de chevaliers originaires de Brême et de Lübeck.\nCelui-ci est soutenu par l'Église [Root.Religion.GetName] et par le Saint Empereur romain. L'Ordre Teutonique, à l'instar des Hospitaliers et des Templiers, protège et soigne principalement les pèlerins qui viennent en Terre sainte, mais serviront aussi tout bon seigneur [Root.GetReligionMasc]. En tant qu'ordre religieux, il ne combattra que des hérétiques et des infidèles.;Unterstützt von der [Root.Religion.GetName]en Kirche und dem Heiligen Römischen Kaiser wurde der Orden der Brüder vom Deutschen Haus Sankt Mariens in Jerusalem gegründet. Wie die Johanniter und die Tempelritter bieten auch die Ritter des Deutschen Ordens hauptsächlich Pilgern im Heiligen Land Schutz und Pflege. Generell aber dienen sie jedem rechtschaffenen [Root.Religion.GetName]en Herrscher, der für ihren Unterhalt aufkommt. Als religiöser Orden kämpfen sie nicht gegen [Root.Religion.GetName]e Glaubensbrüder.;;Se ha creado la Orden de los Caballeros Teutónicos del Hospital de Santa María de Jerusalén, auspiciada por la iglesia [Root.Religion.GetName] y el Sacro Emperador Romano. La principal tarea de dicha Orden, igual que en el caso de los Caballeros de San Juan y los Templarios, es proteger a los peregrinos a Tierra Santa, pero servirán a cualquier buen gobernante [Root.Religion.GetName] dispuesto a pagar su mantenimiento. Al ser una Orden religiosa, no lucharán contra otros [Root.Religion.GetName]s.;L'Ordine dei Fratelli della Casata Tedesca di Santa Maria in Gerusalemme è stato formato, con il patrocinio della Chiesa [Root.Religion.GetName] e dell'Imperatore del Sacro Impero. L'Ordine Teutonico, come i Cavalieri di San Giovanni ed i Templari, si occupa principalmente di proteggere e prendersi cura dei pellegrini in Terrasanta, ma potrà servire qualunque Sovrano di fede [Root.Religion.GetName] che voglia pagare il loro mantenimento. Essendo un ordine religioso, combatterà solo contro gli eretici ed gli infedeli.;;;;;;;;x
EVTDESC_SOA_1709;The Knights of Saint Anthony come from one of the oldest chivalric orders in the world. In 370, disciples of Anthony the Hermit founded the Order of Saint Anthony under the patronage of the Emperor of Ethiopia.\n\nAlthough they have kept a low profile for many centuries, this holy order has now resurfaced as a powerful force. Their stated purpose is to protect [Root.Religion.GetName] Christians from all those who would seek them harm, and to purge the land of infidels and heretics wherever they may be found.;Les chevaliers de l'Ordre de Saint Antoine sont issus de l'un des plus anciens ordres de chevalerie au monde. En 370, des disciples d'Antoine l'Ermite fondèrent l'Ordre de Saint Antoine sous le patronage de l'empereur d'Éthiopie.\n\nMême si cet ordre a su se montrer discret durant de nombreux siècles, il apparaît désormais comme une force puissante dont le but annoncé est de protéger les chrétiens [Root.GetReligionMascPl] de ceux qui leur voudraient du mal et d'expulser tous les infidèles et hérétiques qu'ils trouveront.;Die Ritter des Heiligen Antonius sind einer der ältesten Ritterorden, gegründet im Jahr 370 von Schülern des Heiligen Antonius, dem Einsiedler unter dem Patronat des Kaisers von Äthiopien.\n\nObwohl sie viele Jahrhunderte lang kaum aktiv waren, haben sie sich jetzt als starke Macht neu formiert, mit dem erklärten Ziel, [Root.Religion.GetName]e Christen vor allen zu schützen, die ihnen übelwollen, und das Land von Ketzern und Ungläubigen zu säubern, wo immer die sich auch zeigen sollten.;;Los Caballeros de San Antonio provienen de una de las órdenes de caballería más antiguas del mundo. En el 370, los discípulos de Antonio el Ermitaño fundaron la Orden de San Antonio bajo el patrocinio del emperador de Etiopía.\n\nA pesar de que se han mantenido fuera de la escena pública durante muchos siglos, esta orden santa ha salido ahora a la luz como fuerza poderosa. Su propósito declarado es proteger a los cristianos [Root.Religion.GetName] de todos aquellos que pretendan causarles mal y purgar la tierra de infieles y herejes, dondequiera que se encuentren.;I Cavalieri di Sant'Antonio hanno origine da uno dei più antichi ordini cavallereschi del mondo. Nel 370, i discepoli di Antonio l'Eremita fondarono l'Ordine di Sant'Antonio sotto il patrocinio dell'Imperatore d'Etiopia.\n\nAnche se hanno tenuto un basso profilo per diversi secoli, questo ordine sacro è ora ricomparso sotto forma di una potente forza armata. L'intento da loro dichiarato è proteggere la Cristianità [Root.Religion.GetName] da chiunque intenda recarle danno e purificare la terra dagli infedeli ed dagli eretici, ovunque essi si trovino.;;;;;;;;x
EVTDESC_SOA_1809;Some of Persia's finest warriors have taken it upon themselves to found a new holy order dedicated to safeguarding the [Root.Religion.GetName] faith. They call themselves the Immortals, just like the ancient Persian warrior elite described by Herodotus, and they seem intent on carrying on the martial traditions of their legendary predecessors.\n\nThis militant holy order has sworn to fight against all who would threaten the legacy of Zoroaster, and to never again allow Zoroastrianism to suffer the reverses it did in the wake of the Arab conquests of the 7th century.;Certains parmi les meilleurs guerriers de Perse ont pris la décision de fonder un nouvel ordre dédié à protéger la foi [Root.Religion.GetName].\nIls se font appeler « Immortels », en hommage au surnom des Mélophores, ces guerriers d'élite de l'Empire achéménide de l'ancien temps décrits par Hérodote. Les Immortels semblent avoir l'intention de porter la tradition martiale de leurs légendaires prédécesseurs.\n\nCet ordre a juré de combattre tous ceux qui menacent l'héritage de Zoroastre et de faire le nécessaire pour que la foi [Root.Religion.GetName] ne souffre plus jamais des maux qu'elle a connus lors de la conquête arabe du VIIème siècle.;Einige von Persiens besten Kriegern haben es auf sich genommen, einen neuen Heiligen Orden zum Schutz des [Root.Religion.GetName]en Glaubens zu gründen. Sie nennen sich selbst Die Unsterblichen, wie die alte, von Herodot beschriebene persische Kriegerelite, und sie wollen die martialischen Traditionen ihrer legendären Vorläufer wieder aufleben lassen.\n\nDieser militante Heilige Orden hat sich dem Kampf gegen alle verschrieben, die das Erbe Zoroasters bedrohen könnten, damit der Zoroastrismus nie mehr Rückschläge wie nach den arabischen Eroberungen im 7. Jahrhundert erleiden muss.;;Unos de los mejores guerreros de Persia han asumido la tarea de fundar una nueva orden santa dedicada a salvaguardar la fé [Root.Religion.GetName]. Se hacen llamar los Inmortales, al igual que la antigua élite guerrera persa descrita por Herodoto, y parecen decididos a continuar con la tradición marcial de sus legendarios predecesores.\n\nEsta orden santa militante ha jurado luchar contra todos los que amenacen el legado de Zoroastro y no permitir que la fé [Root.Religion.GetName] vuelva a sufrir los reveses causados por las conquistas árabes del siglo VII.;Alcuni dei migliori guerrieri della Persia si sono riuniti per fondare un nuovo ordine sacro dedicato alla salvaguardia della fede [Root.Religion.GetName]. Si fanno chiamare Gli Immortali, come l'antico gruppo selezionato di guerrieri Persiani descritto da Erodoto, e sembra che abbiano l'obiettivo di portare avanti la tradizione militare dei loro leggendari predecessori.\n\nQuesto sacro ordine combattente ha giurato di combattere contro chiunque minacci l'eredità di Zoroastro e di non permettere più che lo Zoroastrismo soffra i rovesci subiti all'alba della conquista araba nel VII secolo.;;;;;;;;x
EVTDESC_SOA_1209;A Sufi sect of dervishes has arisen under the leadership of a certain Hadji Baktash Wali, a mystic from Khorasan. Striving for 'Unity of Being', Bektashis train the soul through meditation and contemplation of the inner meaning of the Koran. The Bektashi Order is warlike and especially popular among [Root.Religion.GetName] Muslim soldiers. The Order has sworn to protect Islam and to combat infidels and polytheists of all kinds.;Une secte soufie de derviches a été fondée par un certain Haci Bektas Veli, un mystique natif du Khorassan. Oeuvrant pour ce qu'ils nomment « l'Unité de l'Être », les Bektachis forment leurs âmes par la méditation et l'étude du sens profond du Coran.\nLa confrérie bektachie est un ordre guerrier particulièrement apprécié des soldats [Root.GetReligionMascPl]. L'Ordre a juré de protéger l'islam et de combattre les infidèles et les polythéistes de toutes sortes.;"Unter der Führerschaft eines gewissen Hadschi Baktasch Wali, eines Mystikers aus Khorosan, ist eine Sufi-Sekte aus Derwischen entstanden. In ihrem Streben nach der ""Einheit des Seins"" ertüchtigen die Bektaschi ihre Seele durch Meditation und Kontemplation der wahren Bedeutung des Korans. Der kriegerische Bektaschi-Orden ist besonders bei jungen [Root.Religion.GetName]en Soldaten beliebt. Die Mitglieder leisten einen Eid, den Islam zu schützen und Ungläubige und Polytheisten jeder Art zu bekämpfen.";;"Ha surgido una secta sufí de derviches bajo el liderazgo de un tal Hadji Bektash Wali, un místico de Jorasán. Los Bektashis aspiran a la ""Unidad del Ser y educan el alma a través de la meditación y la contemplación del significado interno del Corán. La Orden Bektashi es favorable a la guerra y especialmente popular entre los soldados musulmanes [Root.Religion.GetName]. La Orden ha jurado proteger el Islam y combatir a los infieles y politeístas de todo tipo.""";Una setta di dervisci Sufisti è sorta sotto la direzione di un certo Hadji Baktash Wali, un mistico del Khorasan. Tendendo all''Unità dell'Essere', i Bektashi addestrano l'anima con la meditazione e la contemplazione del significato più profondo del Corano. I Bektashi sono un ordine guerriero e particolarmente diffuso fra i soldati di fede musulmana [Root.Religion.GetName]. L'Ordine ha giurato di proteggere l'Islam e di combattere gli infedeli e i politeisti di ogni genere.;;;;;;;;x
EVTDESC88000;Word is spreading that a [Root.Religion.GetName] missionary, Hassan-i Sabbah, has founded a religious order known as the 'Hashshashin' somewhere in western Persia. Using trickery and guile, this mysterious cult of trained killers has seized control of the mountain fortress of Alamut and converted it into their headquarters. Already a string of violent murders can be traced back to Hassan's devoted and fearless disciples...;Une rumeur court voulant qu'un missionnaire [Root.GetReligionMasc], Hassan-i Sabbah, ait créé un ordre religieux du nom de « Hashshâshîns » quelque part en Perse occidentale. A force de ruse et de fourberie, cette secte de mystérieux assassins a pris le contrôle d'Alamut, une forteresse au sud de la mer Caspienne, et en a fait son siège.\nUne série de spectaculaires meurtres publiques leur a déjà été attribué, et l'on ne peut que craindre que les intrépides dévots d'Hassan-i ne continuent, l'Ordre aillant juré de défendre la foi chiite.;"Es spricht sich herum, dass ein [Root.Religion.GetName]er Missionar, Hassan-i Sabbah, einen religiösen Orden, ""Hashshashin"" genannt, irgendwo in West-Persien, gegründet hat. Dieser mysteriöse Kult ausgebildeter Mörder hat, mit Hilfe von Betrügereien und Tücke, die Kontrolle über die Bergfestung von Alamut erlangt und sie zu ihrem Hauptquartier erklärt. Schon jetzt kann eine Reihe gewalttätiger Morde zu Hassans treuen und furchtlosen Jüngern zurückverfolgt werden.";;Se comenta que un misionero [Root.Religion.GetName], Hassan-i Sabbah, ha fundado una orden religiosa conocida como los 'Hassasin' en algún lugar al oeste de Persia. Utilizando la astucia y el engaño, este misterioso culto de entrenados asesinos ha tomado el control de la fortaleza de Alamut y la ha convertido en su cuartel general. Ya puede apreciarse el reguero de crímenes violentos de los devotos e intrépidos discípulos de Hassan...;Si è diffusa la voce che un missionario di religione [Root.Religion.GetName], Hassan-i Sabbah, abbia fondato, da qualche parte nella Persia Occidentale, un ordine religioso noto come gli 'Hashashin'. Facendo ricorso all'inganno ed all'astuzia, questo misterioso culto di assassini addestrati ha preso controllo della fortezza di Alamut, che si trova fra le montagne, trasformandola nel suo quartier generale. Già una lunga serie di omicidi può essere ricondotta agli impavidi e devoti discepoli di Hassan...;;;;;;;;x
donate_money_to_assassins;Donate 300¤ to the Hashshashins;Donner 300¤ aux Hashshâshîns;Spendet den Hashshashin 300¤ ;;Donar 300¤ a los Hassasin;Dona 300¤ agli Hashashin;;;;;;;;x
donate_money_to_assassins_desc;Donate money to the Hashshashins in exchange for [Player.Religion.GetPietyName].;Je peux donner de l'argent aux Hashshashin en échange de [Player.Religion.GetPietyName].;Ich kann den Hashshashin Geld spenden im Tausch gegen [Player.Religion.GetPietyName].;;Puedo hacer una donación a los Hassasin. A cambio obtendré [Player.Religion.GetPietyName].;Dona del denaro agli Hashashin in cambio di [Player.Religion.GetPietyName].;;;;;;;;x
donate_money_to_bektashi;Donate 300¤ to the Bektashi;Donner 300¤ aux Bektachis;Spendet den Bektaschi 300¤ ;;Donar 300¤ a los Bektashi;Dona 300¤ ai Bektashi;;;;;;;;
donate_money_to_bektashi_desc;Donate money to the Bektashi in exchange for [Player.Religion.GetPietyName].;Je peux donner de l'argent aux Bektachis en échange de [Player.Religion.GetPietyName].;Ich kann den Bektaschi Geld spenden im Tausch gegen [Player.Religion.GetPietyName].;;Puedo hacer una donación a los Bektashi. A cambio obtendré [Player.Religion.GetPietyName].;Dona del denaro ai Bektashi in cambio di [Player.Religion.GetPietyName].;;;;;;;;x
donate_money_to_knights_templar;Donate 300¤ to the Templars;Donner 300¤ aux Templiers;Spendet den Tempelrittern 300¤ ;;Donar 300¤ a los Caballeros Templarios;Dona 300¤ ai Templari;;;;;;;;x
donate_money_to_knights_templar_desc;Donate money to the Knights Templar in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Il est possible de donner de l'argent à l'Ordre du Temple en échange de piété. Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Mit einer Geldspende an die Tempelrittern kann ich Pietät und den lebenslangen Respekt der [Root.Religion.GetName]en Kirche erlangen.;;Puedo hacer una donación a los Caballeros Templarios. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;Dona del denaro ai Cavalieri Templari in cambio di Pietà e dell'eterno rispetto da parte della Chiesa [Root.Religion.GetName].;;;;;;;;x
donate_money_to_knights_hospitaler_desc;Donate money to the Knights Hospitaller in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Il est possible de donner de l'argent à l'Ordre des Hospitaliers en échange de piété. Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Mit einer Geldspende an die Johanniter kann ich Pietät und den lebenslangen Respekt der [Root.Religion.GetName]en Kirche erlangen.;;Puedo hacer una donación a los Caballeros Hospitalarios. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;Dona del denaro ai Cavalieri Ospedalieri in cambio di Pietà e dell'eterno rispetto da parte della Chiesa [Root.Religion.GetName].;;;;;;;;x
donate_money_to_teutonic_order_desc;Donate money to the Teutonic Order in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Il est possible de donner de l'argent à l'Ordre Teutonique en échange de piété. Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Mit einer Geldspende an die Deutschritter kann ich Pietät und den lebenslangen Respekt der [Root.Religion.GetName]en Kirche erlangen.;;Puedo hacer una donación a la Orden Teutónica. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;Dona del denaro ai Cavalieri Teutonici in cambio di Pietà e dell'eterno rispetto da parte della Chiesa [Root.Religion.GetName].;;;;;;;;x
donate_money_to_knights_santiago_desc;Donate money to the Knights of Santiago in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Il est possible de donner de l'argent à l'Ordre de Santiago en échange de piété. Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Ich kann den Jakobsrittern Geld spenden im Tausch gegen Pietät und lebenslangen Respekt durch die [Root.Religion.GetName]e Kirche.;;Puedo hacer una donación a los Caballeros de Santiago. A cambio obtendré la Piedad y el respeto de por vida de la iglesia [Root.Religion.GetName].;Dona del denaro ai Cavalieri di Santiago in cambio di Pietà e dell'eterno rispetto da parte della Chiesa [Root.Religion.GetName].;;;;;;;;x
donate_money_to_knights_calatrava_desc;Donate money to the Knights of Calatrava in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Il est possible de donner de l'argent à l'Ordre de Calatrava en échange de piété. Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Ich kann den Rittern von Calatrava Geld spenden im Tausch gegen Pietät und lebenslangen Respekt durch die [Root.Religion.GetName]e Kirche.;;Puedo hacer una donación a los Caballeros de Calatrava. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;Dona del denaro ai Cavalieri di Calatrava in cambio di Pietà e dell'eterno rispetto da parte della Chiesa [Root.Religion.GetName].;;;;;;;;x
donate_money_to_holy_sepulchre_desc;Donate money to the Brotherhood of the Holy Sepulchre in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Il est possible de donner de l'argent à la Confrérie du Saint-Sépulcre en échange de piété. Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Ich kann der Bruderschaft des Heiligen Grabes Geld spenden und erhalte dafür Pietät und den lebenslangen Respekt der [Root.Religion.GetName]e Kirche.;;Puedo hacer una donación a la Hermandad del Santo Sepulcro. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;Dona del denaro alla Confraternita del Santo Sepolcro in cambio di Pietà e dell'eterno rispetto da parte della Chiesa [Root.Religion.GetName].;;;;;;;;x
