#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
nick_the_inquisitor;the Inquisitor;l'Inquisit[This.GetEurRice];[This.Getderdie] Inquisitor[This.GetinFemale];;el Inquisidor;l'Inquisitore;;;;;;;;x
MNM.70110.d.suspected_society_member;After taking statement from multiple witnessess and closely examining [accused_apostate.GetHerHis] every move, you have managed to gather just enough evidence to accuse [accused_apostate.GetBestName] of apostasy - [accused_apostate.GetSheHe] has been consorting with [accused_apostate.Society.GetName]! Your [Root.GetReligionWarriorPlural] are poised and ready to bring [accused_apostate.GetHerHim] to you in chains.;Après avoir écouté les multiples témoignages et examiné avec attention toutes ses allées et venues, vous avez rassemblé suffisamment de preuves accablantes pour accuser [accused_apostate.Get_only_le_Title][accused_apostate.GetBestName] d'apostasie - [accused_apostate.GetIlElle] a fréquenté [accused_apostate.Get_le_Society] ! Vos [Root.GetReligionWarriorPlural] sont prêts à vous l'amener enchaîné[accused_apostate.Get_E].;Nachdem Ihr mehrere Zeugen befragt und jeden [accused_apostate.GetHerHis]er Schritte genauestens untersucht habt, konntet Ihr gerade genug belastendes Beweismaterial zusammentragen, um [accused_apostate.GetBestName] der Abtrünnigkeit zu bezichtigen. [accused_apostate.GetSheHeCap] hat mit dem [accused_apostate.Society.GetName]-Zirkel verkehrt! Eure [Root.GetReligionWarrior] stehen bereit, um [accused_apostate.GetBestName] in Ketten zu Euch zu bringen.;;Tras tomar declaración de varios testigos y escrutar sus actos, has reunido suficientes pruebas para acusar a [accused_apostate.GetBestName] de apostasía. ¡No hay duda de que se ha estado juntando con [accused_apostate.Society.GetName]! Tus [Root.GetReligionWarrior]s están listos para traerte a esta persona encadenada.;Dopo aver raccolto le dichiarazioni di diversi testimoni e aver esaminato attentamente ogni [accused_apostate.GetHerHis] mossa, sei riuscito a raccogliere abbastanza prove incriminatorie per accusare [accused_apostate.GetBestName] di apostasia - [accused_apostate.GetSheHe] sta frequentando [accused_apostate.Society.GetName]! I tuoi [Root.GetReligionWarriorPlural] sono pronti a portare [accused_apostate.GetHerHim] in catene davanti a te.;;;;;;;;x
MNM.70110.d.suspected_apostate;While spying on [accused_apostate.GetBestName] you have found numerous heretical trinkets and books. All together you now have enough damning evidence to accuse [accused_apostate.GetHerHim] of apostasy - [accused_apostate.GetSheHeCap] claims to be a devout [accused_apostate.Religion.GetName], but [accused_apostate.GetSheHe] is obviously lying - [accused_apostate.GetSheHe] practices [accused_apostate.GetTrueReligionAdherent] in secrecy! Your [Root.GetReligionWarriorPlural] are poised and ready to bring [accused_apostate.GetHerHim] to you in chains.;En espionnant [accused_apostate.Get_only_le_Title][accused_apostate.GetBestName], vous avez trouvé de nombreux bibelots et livres hérétiques. Vous avez maintenant assez de preuves accablantes pour l'accuser d'apostasie - [accused_apostate.GetIlElleCap] prétend être un[accused_apostate.Get_E] pieu[accused_apostate.GetXSe] [accused_apostate.GetReligionMascFem], mais c'est un mensonge - [accused_apostate.GetIlElle] pratique secrètement la foi [accused_apostate.GetTrueReligionAdherent] ! Vos [Root.GetReligionWarriorPlural] sont prêts à vous l'amener enchaîné[accused_apostate.Get_E].;Beim Ausspionieren von [accused_apostate.GetBestName] habt Ihr viele ketzerische Schmuckstücke und Bücher gefunden. Alles in allem habt Ihr nun genug belastendes Beweismaterial, um [accused_apostate.GetBestName] der Abtrünnigkeit bezichtigen zu können. [accused_apostate.GetSheHeCap] behauptet zwar, ein frommer [accused_apostate.Religion.GetName] zu sein, doch dies entspricht offenkundig nicht der Wahrheit. [accused_apostate.GetSheHeCap] übt im Geheimen [accused_apostate.GetTrueReligionAdherent] aus! Eure [Root.GetReligionWarrior] stehen bereit, um [accused_apostate.GetBestName] in Ketten zu Euch zu bringen.;;Mientras espiabas a [accused_apostate.GetBestName], encontraste diversas baratijas y libros heréticos. Ya has reunido suficientes pruebas incriminatorias para acusar a [accused_apostate.GetBestName] de apostasía. Afirma ser [accused_apostate.Religion.GetName], pero es obvio que miente: ¡practica [accused_apostate.GetTrueReligionAdherent] en secreto! Tus [Root.GetReligionWarrior]s están listos para traerte a esta persona encadenada.;Mentre stai spiando [accused_apostate.GetBestName] hai trovato diversa bigiotteria e libri eretici. Hai messo insieme abbastanza prove incriminatorie per accusare [accused_apostate.GetHerHim] di apostasia - [accused_apostate.GetSheHeCap] afferma di essere un devoto [accused_apostate.Religion.GetName], ma [accused_apostate.GetSheHe] sta ovviamente mentendo - [accused_apostate.GetSheHe] pratica la fede [accused_apostate.GetTrueReligionAdherent] in segreto! I tuoi [Root.GetReligionWarriorPlural] sono pronti a portare [accused_apostate.GetHerHim] in catene davanti a te.;;;;;;;;x
MNM.70110.d.no_suspicion;After taking statement from a few child witnessess and concerned peasants, you have gathered some evidence pointing towards [accused_apostate.GetBestName] being an apostate - you have a good feeling that [accused_apostate.GetFirstName]'s soul has been tainted by [Root.Religion.GetRandomEvilGodName]! Your [Root.GetReligionWarriorPlural] are poised and ready to bring [accused_apostate.GetHerHim] to you in chains.;Ayant pris les dépositions de quelques enfants témoins et de paysans inquiets, vous rassemblez des preuves que [accused_apostate.Get_only_le_Title][accused_apostate.GetBestName] est un[accused_apostate.Get_E] apostat[accused_apostate.Get_E] - vous pensez que l'âme de [accused_apostate.GetFirstName] a été entachée par [Root.GetEvilGodLeLaLes] ! Vos [Root.GetReligionWarriorPlural] sont prêts à vous l'amener enchaîné[accused_apostate.Get_E].;Nachdem Ihr mehrere Kinder und besorgte Bauern als Zeugen befragt habt, konntet Ihr einige Indizien dafür zusammentragen, dass [accused_apostate.GetBestName] ein Abtrünniger sein könnte, und Ihr vermutet, dass die Seele von [accused_apostate.GetFirstName] durch [Root.Religion.GetRandomEvilGodName] verdorben wurde! Eure [Root.GetReligionWarrior] stehen bereit, um [accused_apostate.GetBestName] in Ketten zu Euch zu bringen.;;Tras tomar declaración a unos pocos niños testigos y campesinos preocupados, has reunido suficientes pruebas que apuntan a que [accused_apostate.GetBestName] es apóstata. ¡Presientes que el alma de [accused_apostate.GetFirstName] ha sido mancillada por [Root.Religion.GetRandomEvilGodName]! Tus [Root.GetReligionWarrior]s están listos para traerte a esta persona encadenada.;Dopo aver raccolto le dichiarazioni di alcuni bambini e paesani preoccupati, hai raccolto alcune prove che indicano che [accused_apostate.GetBestName] sia un apostata - ritieni a ragione che l'anima di [accused_apostate.GetFirstName] è stata contaminata da [Root.Religion.GetRandomEvilGodName]! I tuoi [Root.GetReligionWarriorPlural] sono pronti a portare [accused_apostate.GetHerHim] in catene davanti a te.;;;;;;;;x
MNM.70110.d.innocent_victim;After taking statement from a few child witnessess and concerned peasants, you have gathered some evidence pointing towards [accused_apostate.GetBestName] being an apostate - you have a good feeling about [accused_apostate.GetFirstName]'s soul being tainted by [Root.Religion.GetRandomEvilGodName]! Your [Root.GetReligionWarriorPlural] are poised and ready to bring [accused_apostate.GetHerHim] to you in chains.;Ayant pris les dépositions de quelques enfants témoins et de paysans inquiets, vous rassemblez des preuves que [accused_apostate.Get_only_le_Title][accused_apostate.GetBestName] est un[accused_apostate.Get_E] apostat[accused_apostate.Get_E] - vous pensez que l'âme de [accused_apostate.GetFirstName] est entachée par [Root.GetEvilGodLeLaLes] ! Vos [Root.GetReligionWarriorPlural] sont prêts à vous l'amener enchaîné[accused_apostate.Get_E].;Nachdem Ihr mehrere Kinder und besorgte Bauern als Zeugen befragt habt, konntet Ihr einige Indizien dafür zusammentragen, dass [accused_apostate.GetBestName] ein Abtrünniger sein könnte, und Ihr vermutet, dass die Seele von [accused_apostate.GetFirstName] durch [Root.Religion.GetRandomEvilGodName] verdorben wurde! Eure [Root.GetReligionWarrior] stehen bereit, um [accused_apostate.GetBestName] in Ketten zu Euch zu bringen.;;Tras tomar declaración a unos pocos niños testigos y campesinos preocupados, has reunido suficientes pruebas que apuntan a que [accused_apostate.GetBestName] es apóstata. ¡Presientes que el alma de [accused_apostate.GetFirstName] está siendo mancillada por [Root.Religion.GetRandomEvilGodName]! Tus [Root.GetReligionWarrior]s están listos para traerte a esta persona encadenada.;Dopo aver raccolto le dichiarazioni di alcuni bambini e paesani preoccupati, hai raccolto alcune prove che indicano che [accused_apostate.GetBestName] sia un apostata - ritieni a ragione che l'anima di [accused_apostate.GetFirstName] sia stata contaminata da [Root.Religion.GetRandomEvilGodName]! I tuoi [Root.GetReligionWarriorPlural] sono pronti a portare [accused_apostate.GetHerHim] in catene davanti a te.;;;;;;;;x
MNM.70110.a;Seize [accused_apostate.GetHerHim]! [accused_apostate.GetSheHeCap] will face [Root.Liege.GetTitle] [Root.Liege.GetFirstName]'s justice.;Saisissez-[accused_apostate.GetLeLa] ! [accused_apostate.GetIlElleCap] fera face à la justice [Root.Liege.Get_only_du_Title][Root.Liege.GetTitle] [Root.Liege.GetFirstName].;Ergreift [accused_apostate.GetBestName]! [accused_apostate.GetSheHeCap] muss sich dem Urteil von [Root.Liege.GetTitle] [Root.Liege.GetFirstName] stellen.;;¡Detened a [accused_apostate.GetBestName]! Se enfrentará a la justicia de [Root.Liege.GetTitle] [Root.Liege.GetFirstName].;Trattieni [accused_apostate.GetHerHim]! [accused_apostate.GetSheHeCap] affronterà la giustizia di [Root.Liege.GetTitle] [Root.Liege.GetFirstName].;;;;;;;;x
MNM.70110.b;I know who I would rather accuse...;Il y a quelqu'un d'autre que je préférerais accuser...;Ich weiß, wen ich lieber beschuldigen würde ...;;Sé a quién preferiría acusar...;So chi preferirei accusare...;;;;;;;;x
MNM.70200.d.highly_suspected_society_member;"[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] bursts into your [Root.GetChamber], flanked by several [Root.GetReligionWarriorPlural] dragging [accused_apostate.GetBestName] with them in chains. ""My [Root.GetTitle], this [accused_apostate.GetManWoman] has been openly proclaiming [accused_apostate.GetHerHis] allegiance to [accused_apostate.Society.GetName]! What shall be done with [accused_apostate.GetHerHim]?""";[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] fait irruption dans votre [Root.GetChamber], accompagné[Root.job_spiritual.Get_E] de plusieurs [Root.GetReligionWarriorPlural] tirant [accused_apostate.Get_only_le_Title][accused_apostate.GetBestName] enchaîné[accused_apostate.Get_E]. « M[Root.GetOnA][Root.GetLordLady], c[accused_apostate.GetEtEtte] [accused_apostate.GetManWoman] a ouvertement juré allégeance [accused_apostate.Get_au_Society] ! Que doit-on faire d[accused_apostate.GetEluiElle] ? »;"[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] stürzt in Eure [Root.GetChamber]. Mehrere [Root.GetReligionWarrior] folgen ihm und ziehen [accused_apostate.GetBestName] in Ketten hinter sich her. ""M[Root.Geteineine] [Root.GetTitle], diese[accused_apostate.GetrMale] [accused_apostate.GetManWoman] hat öffentlich [accused_apostate.GetHerHis]e Treue zum [accused_apostate.Society.GetName]-Zirkel bekannt! Was soll mit [accused_apostate.GetBestName] geschehen?""";;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] entra gritando en tu [Root.GetChamber] con varios [Root.GetReligionWarrior]s que arrastran a [accused_apostate.GetBestName] con cadenas. «Mi [Root.GetTitle], ¡esta persona ha estado proclamando abiertamente su lealtad a [accused_apostate.Society.GetName]! ¿Qué deseas que se haga?».;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] irrompe nella tua [Root.GetChamber], accompagnato da diversi [Root.GetReligionWarriorPlural] che trascinano [accused_apostate.GetBestName] in catene. 'Mio [Root.GetTitle], questo [accused_apostate.GetManWoman] ha pubblicamente proclamato la [accused_apostate.GetHerHis] fedeltà a [accused_apostate.Society.GetName]! Che cosa dovremmo farne di [accused_apostate.GetHerHim]?';;;;;;;;x
MNM.70200.d.suspected_society_member;"[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] bursts into your [Root.GetChamber], flanked by several [Root.GetReligionWarriorPlural] dragging [accused_apostate.GetBestName] with them in chains. ""My [Root.GetTitle], I have procured irrefutable evidence that this [accused_apostate.GetManWoman] consorts with [accused_apostate.Society.GetName]! What shall be done with [accused_apostate.GetHerHim]?""";[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] fait irruption dans votre [Root.GetChamber], accompagné[Root.job_spiritual.Get_E] de plusieurs [Root.GetReligionWarriorPlural] tirant [accused_apostate.Get_only_le_Title][accused_apostate.GetBestName] enchaîné[accused_apostate.Get_E]. « M[Root.GetOnA][Root.GetLordLady], j'ai des preuves irréfutables que c[accused_apostate.GetEtEtte] [accused_apostate.GetManWoman] fréquente [accused_apostate.Get_le_Society] ! Que doit-on faire d[accused_apostate.GetEluiElle] ? »;"[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] stürzt in Eure [Root.GetChamber]. Mehrere [Root.GetReligionWarrior] folgen ihm und ziehen [accused_apostate.GetBestName] in Ketten hinter sich her. ""M[Root.Geteineine] [Root.GetTitle], ich habe unwiderrufliche Beweise dafür gefunden, dass diese[accused_apostate.GetrMale] [accused_apostate.GetManWoman] mit dem [accused_apostate.Society.GetName]-Zirkel verkehrt! Was soll mit [accused_apostate.GetBestName] geschehen?""";;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] entra gritando en tu [Root.GetChamber], flanqueado/a por varios [Root.GetReligionWarrior]s que arrastran a [accused_apostate.GetBestName] con cadenas. «Mi [Root.GetTitle], ¡he obtenido pruebas irrefutables de que esta persona se codea con [accused_apostate.Society.GetName]! ¿Qué deseas que se haga?».;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] irrompe nella tua [Root.GetChamber], accompagnato da diversi [Root.GetReligionWarriorPlural] che trascinano [accused_apostate.GetBestName] in catene. 'Mio [Root.GetTitle], ho prove inconfutabili che questo [accused_apostate.GetManWoman] frequenta [accused_apostate.Society.GetName]! Che cosa dovremmo farne di [accused_apostate.GetHerHim]?';;;;;;;;x
MNM.70200.d.suspected_apostate;"[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] bursts into your [Root.GetChamber], flanked by several [Root.GetReligionWarriorPlural] dragging [accused_apostate.GetBestName] with them in chains. ""My [Root.GetTitle], we caught this apostate in the act of reading [accused_apostate.TrueReligion.GetName] scripture, and giving praise to [Root.job_spiritual.Religion.GetRandomEvilGodName]! What shall be done with [accused_apostate.GetHerHim]?""";[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] fait irruption dans votre [Root.GetChamber], accompagné[Root.job_spiritual.Get_E] de plusieurs [Root.GetReligionWarriorPlural] tirant [accused_apostate.Get_only_le_Title][accused_apostate.GetBestName] enchaîné[accused_apostate.Get_E]. « M[Root.GetOnA][Root.GetLordLady], nous avons surpris c[accused_apostate.GetEtEtte] apostat[accused_apostate.Get_E] en train de lire [accused_apostate.Get_du_ScriptureSecret] de la religion [accused_apostate.TrueReligion.GetName] et louer [Root.job_spiritual.GetEvilGodLeLaLes] ! Que doit-on faire d[accused_apostate.GetEluiElle] ? »;"[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] stürzt in Eure [Root.GetChamber]. Mehrere [Root.GetReligionWarrior] folgen ihm und ziehen [accused_apostate.GetBestName] in Ketten hinter sich her. ""M[Root.Geteineine] [Root.GetTitle], wir haben diese abtrünnige Person dabei ertappt, die Heilige [accused_apostate.GetTrueReligionAdherent]-Schrift [accused_apostate.SecretReligion.GetScriptureName] zu lesen und [accused_apostate.SecretReligion.GetHighGodName] zu preisen! Was soll mit [accused_apostate.GetBestName] geschehen?""";;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] entra gritando en tu [Root.GetChamber], flanqueado/a por varios [Root.GetReligionWarrior]s que arrastran a [accused_apostate.GetBestName] con cadenas. «Mi [Root.GetTitle], ¡sorprendimos a esta persona leyendo el/la [accused_apostate.GetTrueReligionAdherent] [accused_apostate.SecretReligion.GetScriptureName] y prodigando alabanzas a [accused_apostate.SecretReligion.GetHighGodName]! ¿Qué deseas que se haga?».;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] irrompe nella tua [Root.GetChamber], accompagnato da diversi [Root.GetReligionWarriorPlural] che trascinano [accused_apostate.GetBestName] in catene. 'Mio [Root.GetTitle], abbiamo sorpreso questo apostata nell'atto di leggere le scritture [accused_apostate.TrueReligion.GetName] e di rivolgere preghiere a [Root.job_spiritual.Religion.GetRandomEvilGodName]! Che cosa dovremmo farne di [accused_apostate.GetHerHim]?';;;;;;;;x
MNM.70200.d.no_suspicion;"[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] bursts into your [Root.GetChamber], flanked by several [Root.GetReligionWarriorPlural] dragging [accused_apostate.GetBestName] with them in chains. ""My [Root.GetTitle], there are many concerned peasants claiming that their children are plagued by nightmares of this [accused_apostate.GetManWoman] - [accused_apostate.GetSheHe] is obviously a [accused_apostate.GetWarlockWitch]! What shall be done with [accused_apostate.GetHerHim]?""";[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] fait irruption dans votre [Root.GetChamber], accompagné[Root.job_spiritual.Get_E] de plusieurs [Root.GetReligionWarriorPlural] tirant [accused_apostate.Get_only_le_Title][accused_apostate.GetBestName] enchaîné[accused_apostate.Get_E]. « M[Root.GetOnA][Root.GetLordLady], beaucoup de paysans inquiets affirment que leurs enfants sont en proie à des cauchemars à propos de c[accused_apostate.GetEtEtte] [accused_apostate.GetManWoman] - c'est de toute évidence un[accused_apostate.Get_E] [accused_apostate.GetWarlockWitch] ! Que doit-on faire d[accused_apostate.GetEluiElle] ? »;"[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] stürzt in Eure [Root.GetChamber]. Mehrere [Root.GetReligionWarrior] folgen ihm und ziehen [accused_apostate.GetBestName] in Ketten hinter sich her. ""M[Root.Geteineine] [Root.GetTitle], viele besorgte Bauern behaupten, ihre Kinder würden durch Albträume von [accused_apostate.Getdiesemdieser] [accused_apostate.GetManWoman] geplagt. [accused_apostate.GetSheHeCap] ist offenkundig [accused_apostate.Geteineine] [accused_apostate.GetWarlockWitch]! Was soll mit [accused_apostate.GetBestName] geschehen?""";;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] entra gritando en tu [Root.GetChamber], flanqueado/a por varios [Root.GetReligionWarrior]s que arrastran a [accused_apostate.GetBestName] con cadenas. «Mi [Root.GetTitle], hay muchos campesinos preocupados de que sus hijos se vean acosados por las pesadillas de esta persona. ¡No hay duda de que es [accused_apostate.GetWarlockWitch]! ¿Qué deseas que se haga?».;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] irrompe nella tua [Root.GetChamber], accompagnato da diversi [Root.GetReligionWarriorPlural] che trascinano [accused_apostate.GetBestName] in catene. 'Mio [Root.GetTitle], diversi paesani preoccupati sostengono che i loro bambini siano vittime degli incubi di questo [accused_apostate.GetManWoman] - [accused_apostate.GetSheHe] è ovviamente un [accused_apostate.GetWarlockWitch]! Che cosa dovremmo farne di [accused_apostate.GetHerHim]?';;;;;;;;x
