#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
AIREASON_CAN_PAY_OWN_RANSOM;§Y[GetTitledFirstName]§! can afford [GetHerHis] own ransom;§Y[GetTitledFirstName]§! peut payer sa propre rançon;§Y[GetTitledFirstName]§! Kann [GetHerHis] Lösegeld selbst zahlen;;§Y[GetTitledFirstName]§! puede permitirse su propio rescate;§Y[GetTitledFirstName]§! può permettersi il proprio riscatto;;;;;;;;x
best_candidate_title_cardinal_tooltip;Of all the bishops in my realm, this one is the likeliest to get appointed Cardinal by the Pope.;De tous les évêques du pays, celui-ci est le plus susceptible d'être nommé cardinal par le pape.;Von allen Bischöfen in meinem Reich wird dieser wahrscheinlich am ehesten vom Papst zum Kardinal ernannt.;;De todos los obispos de mi reino, este es el que tiene más probabilidades de que el Papa lo nombre Cardenal.;Di tutti i Vescovi nel mio reame, questo ha maggiori possibilità di essere nominato Cardinale dal Papa.;;;;;;;;x
TITLE_GAINED_RELIGIOUS_SETUP;New Cardinal appointed.;Nouveau cardinal nommé;Neuer Kardinal ernannt;;Nuevo cardenal nombrado.;Nominato Nuovo Cardinale.;;;;;;;;x
TITLE_GAINED_RELIGIOUS_LETTER;$NEWHOLDER$ was given a seat in the College of Cardinals.;$NEWHOLDER$ a reçu un siège au Collège des cardinaux.;$NEWHOLDER$ wurde ins Kardinalskollegium berufen.;;$NEWHOLDER$ ha obtenido un asiento en el Colegio Cardenalicio.;$NEWHOLDER$ ha ottenuto un seggio nel Collegio dei Cardinali.;;;;;;;;x
TITLE_GAINED_RELIGIOUS_LOG;$NEWHOLDER$ was given a seat in the College of Cardinals.;$NEWHOLDER$ a reçu un siège au Collège des cardinaux.;$NEWHOLDER$ wurde ins Kardinalskollegium berufen.;;$NEWHOLDER$ ha obtenido un asiento en el Colegio Cardenalicio.;$NEWHOLDER$ ha ottenuto un seggio nel Collegio dei Cardinali.;;;;;;;;x
alert_deficits_instant;§YBudget Deficit§!;§YCoffres vides§!;§YHaushaltsdefizit§!;;§YDéficit presupuestario§!;§Ybilancio in Perdita§!;;;;;;;;x
alert_deficits_delayed;Your coffers are empty and you owe your subjects money. The morale of your armies will suffer, and the longer this goes on, the more corruption and criminals will plague your counties.;Vos coffres sont vides et vous avez contracté des dettes envers vos sujets. Le moral de vos armées en sera affecté. Plus cette situation s'éternisera, plus la corruption et le crime nuiront à vos comtés.;Eure Staatskasse ist leer und Ihr schuldet Euren Untertanen Geld. Die Moral Eurer Truppen wird leiden und je länger das anhält, umso mehr werden Korruption und Kriminalität Eure Ländereien heimsuchen.;;Tus arcas están vacías y debes dinero a tus súbditos. La moral de los ejércitos se verá afectada y, cuanto más tiempo transcurra, más afectarán la corrupción y la delincuencia a tus condados.;I tuoi forzieri sono vuoti e devi del denaro ai tuoi sudditi. Il morale delle tue armate ne soffrirà, e più a lungo questa situazione andrà avanti, maggiori saranno la corruzione e la criminalità nelle tue Contee.;;;;;;;;x
EVTDESC68000;I cannot afford to pay my magistrates and my debts to the lower classes are dangerously high. The peasants of [Root.GetName] are now completely disregarding my divine right to rule!;Je ne peux plus payer mes baillis et mes dettes envers les classes inférieures sont dangereusement élevées. Les paysans en [Root.GetName] remettent sérieusement en doute mon droit divin à gouverner !;Ich kann meine Beamten nicht bezahlen, und meine Schulden bei den Untertanen sind gefährlich hoch. Die Bauern von [Root.GetName] missachten völlig mein von Gott gegebenes Herrschaftsrecht!;;No puedo pagar a mis magistrado y mis deudas a las clases bajas son peligrosamente elevadas. ¡Ahora los campesinos de [Root.GetName] desacatan por completo mi derecho divino a gobernar!;Non posso permettermi di pagare i miei magistrati ed il debito verso i ceti inferiori è pericolosamente elevato. I contadini di [Root.GetName] stanno completamente ignorando il mio diritto divino al trono!;;;;;;;;x
EVTDESC68001;The peasants of [Root.GetName] are slowly starting to respect my rule again. I should never let my treasury go negative!;Les paysans en [Root.GetName] commencent à respecter de nouveau ma fonction. Plus jamais je n'aurai de dettes !;Allmählich respektieren die Bauern von [Root.GetName] wieder meine Herrschaft. Nie wieder soll meine Schatzkammer leer sein!;;Los campesinos de [Root.GetName] vuelven lentamente a respetar mi mandato. ¡Nunca debí dejar que las cuentas del tesoro tocaran fondo!;I contadini di [Root.GetName] stanno lentamente tornando a rispettare il mio governo. Non dovrei mai permettere al bilancio di andare in passivo!;;;;;;;;x
EVTDESC68010;Due to my lack of funds to pay my sheriffs and magistrates with, a Thieves' Guild has been established in [Root.GetName].;Comme je n'ai plus d'argent pour payer mes prévôts, une guilde de voleurs s'est établie à [Root.GetName].;Weil ich kein Geld hatte, um meine Schulzen und Beamten zu bezahlen, ist in [Root.GetName] eine Diebesgilde entstanden.;;Debido a mi falta de fondos para pagar a los alguaciles y magistrados, se ha establecido una banda de ladrones en [Root.GetName].;A causa della mia mancanza di fondi per pagare gli sceriffi ed i magistrati, una Gilda di Ladri è sorta in [Root.GetName].;;;;;;;;x
EVTDESC68020;My acute budget deficit has allowed a Smugglers' Ring to appear in [Root.GetName].;Mon grave endettement a entraîné l'apparition d'un réseau de contrebandiers à [Root.GetName].;Infolge meines akuten Haushaltsdefizits ist in [Root.GetName] ein Schmugglerring entstanden.;;Mi agudo déficit presupuestario ha hecho posible que surja una red de contrabandistas en [Root.GetName].;Il mio pesante passivo di bilancio ha fatto sì che una Banda di Contrabbandieri si stabilisse in [Root.GetName].;;;;;;;;x
EVTDESC68030;My underfunded sheriffs have allowed a large band of robbers to rise in [Root.GetName]. They are too craven to attack my castles though.;Mes prévôts manquent de ressources et n'ont donc pas pu empêcher une importante bande de malandrins de s'établir à [Root.GetName]. Ceux-ci sont cependant trop lâches pour s'attaquer à mes châteaux.;Meine unterbezahlten Schulzen haben die Entstehung einer großen Räuberbande in [Root.GetName] zugelassen. Aber sie sind zu feige, meine Burgen anzugreifen.;;Mis mal pagados alguaciles han permitido que una gran banda de ladrones se haga fuerte en [Root.GetName]. No obstante, son demasiado cobardes para atacar mis castillos.;I miei sceriffi mancano di fondi e questo ha causato l'apparizione di una grande banda di rapinatori in [Root.GetName]. Per fortuna sono troppo codardi per attaccare i miei castelli.;;;;;;;;x
EVTDESC315;My labor was difficult and I fear that something is wrong with me. The midwives look worried, and I feel so terribly weak...;J'ai vécu un accouchement difficile et je crains d'avoir quelques problèmes. Les sages-femmes semblent inquiètes et je me sens si faible...;Meine Wehen waren schlimm und ich fürchte, dass es mir nicht gut geht. Die Hebammen sehen sehr besorgt aus und ich fühle mich schrecklich schwach...;;Mi parto fue difícil y presiento que no estoy bien del todo. Las matronas parecían preocupadas, y me siento terriblemente débil...;Il travaglio è difficile e sento che qualcosa non va. Le levatrici sono preoccupate e mi sento terribilmente debole...;;;;;;;;x
EVTOPTA315;I must pray to [Root.Religion.GetRandomGodName];Je dois prier [Root.Religion.GetRandomGodName];Ich muss zu [Root.Religion.GetRandomGodName] beten.;;Debo rezar a [Root.Religion.GetRandomGodName];Devo pregare [Root.Religion.GetRandomGodName];;;;;;;;x
EVTDESC6062;Nana says I am not sick anymore.;Mémé a dit que je n'étais plus malade.;Nana sagt, ich sei nicht mehr krank.;;Nana dice que la enfermedad ha remitido.;La Bambinaia dice che non sono più malato.;;;;;;;;x
EVTOPTA6062;I can run!;Je peux courir !;Ich kann laufen!;;¡Puedo correr!;Posso correre!;;;;;;;;x
sickly;Sickly;Enfant maladif;Kränklich;;Enfermizo;Malaticcio;;;;;;;;x
sickly_desc;This child was born sickly and might not survive infancy.;Cet enfant est maladif et pourrait donc ne pas atteindre l'âge adulte.;Dieses Kind wurde kränklich geboren und wird vielleicht nicht lange leben;;Este niño nació enfermizo y podría no sobrevivir a la infancia.;Questo bambino è nato malaticcio e potrebbe non raggiungere l'età adulta.;;;;;;;;x
sickly_death;a sickly infant;de son état maladif;als kränkliches Kind;;bebé enfermizo;un bambino malaticcio;;;;;;;;x
REL_SISTER_WIFE;Sister-Wife;soeur-épouse;Schwester-Frau;;Hermana-Esposa;Sorella-Moglie;;;;;;;;x
REL_MOTHER_WIFE;Mother-Wife;mère-épouse;Mutter-Frau;;Madre-Esposa;Madre-Moglie;;;;;;;;x
REL_DAUGHTER_WIFE;Daughter-Wife;fille-épouse;Tochter-Frau;;Hija-Esposa;Figlia-Moglie;;;;;;;;x
REL_BROTHER_HUSBAND;Brother-Husband;frère-mari;Bruder-Ehemann;;Hermano-Esposo;Fratello-Marito;;;;;;;;x
REL_SON_HUSBAND;Son-Husband;fils-mari;Sohn-Ehemann;;Hijo-Esposo;Figlio-Marito;;;;;;;;x
REL_FATHER_HUSBAND;Father-Husband;père-mari;Vater-Ehemann;;Padre-Esposo;Padre-Marito;;;;;;;;x
jewish;Jewish;juive;Jüdisch;;Judío;Ebraico;;;;;;;;x
samaritan;Samaritan;samaritaine;Samariter;;Samaritano;Samaritano;;;;;;;;x
karaite;Karaite;karaïte;Karaite;;Caraíta;Caraita;;;;;;;;x
THE_TORAH;The Torah;Torah;Die Torah;;La Torá;La Torah;;;;;;;;x
THE_TANAKH;The Tanakh;le Tanakh;Der Tanakh;;El Tanaj;Il Tanakh;;;;;;;;x
RANDOM_CHARACTER;Random Character;Personnage aléatoire;Zufällige Person;;Personaje aleatorio;Personaggio Casuale;;;;;;;;x
jewish_DESC;Judaism is the oldest of the Abrahamic religions and its origins can be traced back all the way to the Bronze Age. The holiest city of this monotheistic faith is Jerusalem, which served as the capital of the ancient Kingdom of Israel.;Le judaïsme est la plus ancienne des religions abrahamiques. On fait remonter ses origines à l'âge du bronze. La ville la plus sacrée de cette religion monothéiste est Jérusalem, qui fut la capitale de l'ancien royaume d'Israël.;Das Judentum ist die älteste der abrahamitischen Religionen, ihre Ursprünge reichen zurück bis in die Bronzezeit. Die heiligste Stadt dieser monotheistischen Religion ist Jerusalem, einst Hauptstadt des Königreichs Israel.;;El judaísmo es la más antigua de las religiones abrahámicas, cuyos orígenes se remontan hasta la Edad de Bronce. La ciudad más sagrada de esta fe monoteísta es Jerusalén, antaño capital del antiguo reino de Israel.;L'ebraismo è la più antica delle religioni abramitiche e le sue origini risalgono all'età del Bronzo. La città sacra di questa religione monoteista è Gerusalemme, che fu la capitale dell'antico regno d'Israele.;;;;;;;;x
build_third_temple;Build the Third Temple;Construire le Troisième Temple;Bauen Sie den dritten Tempel;;Construir el Tercer Templo;Costruisci il Terzo Tempio;;;;;;;;x
build_third_temple_desc;The First and Second Holy Temples in Jerusalem were both destroyed by invading armies. Now that the city has finally been restored to Jewish rule, the time has come to begin construction of a Third Temple.;Les Premier et Second Temple ont tous deux été détruits par des armées d'envahisseurs. Maintenant que la cité est de nouveau sous contrôle juif, il est temps de commencer la construction du Troisième Temple.;Der erste und der zweite Heilige Tempel in Jerusalem wurden von Eroberern zerstört. Jetzt, da die Stadt endlich wieder unter jüdischer Herrschaft ist, ist es Zeit, mit dem Bau des Dritten Tempels zu beginnen.;;El Primer y Segundo Templos Sagrados de Jerusalén fueron destruidos por ejércitos invasores. Ahora que la ciudad ha reinstaurado el gobierno judío, ha llegado la hora de comenzar a construir un Tercer Templo.;Il Primo ed il Secondo Tempio Sacro di Gerusalemme sono stati entrambi distrutti dalle armate invaditrici. Ora che la Città è finalmente tornata sotto il controllo ebraico, è tempo di iniziare la costruzione di un Terzo Tempio.;;;;;;;;x
EVTDESC_SoA_100;Construction of the Third Temple will begin immediately on Temple Mount overlooking Jerusalem. The design of the new temple is greater in scope than even King Solomon's fabled First Temple. Your architects estimate that the construction will take roughly four years. When it is finished, it will truly be a sight to see!;La construction du Troisième Temple commence immédiatement sur le Mont du Temple qui surplombe Jérusalem. Ce nouveau temple sera même plus grand que le légendaire Premier Temple du roi Salomon, mais vos architectes estiment que sa construction prendra environ quatre ans, bien que nous ne doutions pas résultat sera vraiment spectaculaire !;Der Bau des Dritten Tempels beginnt sofort auf dem Tempelberg in Jerusalem. Im Entwurf ist der neue Tempel sogar größer als der sagenhafte erste Tempel von König Salomon. Ihre Baumeister veranschlagen eine Bauzeit von etwa vier Jahren. Was für einen großartigen Anblick wird der Tempel geben, wenn er fertig ist!;;La construcción del Tercer Templo comenzará inmediatamente en el Monte del Templo situado junto a Jerusalén. El diseño del nuevo templo supera en alcance incluso al del legendario Primer Templo del rey Salomón. Tus arquitectos calculan que la construcción durará unos cuatro años. Una vez terminado, ¡será realmente digno de ver!;La costruzione del Terzo Tempio inizierà immediatamente sul Monte del Tempio che sovrasta Gerusalemme. Il progetto prevede un nuovo tempio più grande perfino del favoloso Primo Tempio di Re Salomone. I tuoi architetti prevedono che la costruzione richiederà circa quattro anni. Quando sarà concluso, sarà davvero magnifico!;;;;;;;;x
EVTOPTA_SoA_100;Our people need but wait a little longer.;Qu'est-ce que quatre ans lorsque l'on a attendu près d'un millénaire ?;Unser Volk muss nur ein klein wenig länger warten;;Nuestro pueblo solo tiene que esperar un poco más.;Il nostro popolo ne ha bisogno ma dovrà aspettare un po'.;;;;;;;;x
EVTNAME_SoA_101;The Third Temple;Le Troisième Temple;Der Dritte Tempel;;El Tercer Templo;Il Terzo Tempio;;;;;;;;x
EVTDESC_SoA_101;The First Temple, built by King Solomon, was destroyed by the invading Babylonians. The Second Temple, built under the auspices of Cyrus the Great of Persia, was razed by the Romans after a terrible siege. The Third Temple, however, built by the great [FromFrom.GetTitledFirstName], shall stand for all eternity!\n\nFrom its position on Temple Mount, the magnificent building has become a dominant feature of Jerusalem, instantly recognizable from far away by travellers approaching the city. Truly, Solomon himself would have been moved to tears by the sight.;Le Premier temple, construit par le roi Salomon, fut détruit par les envahisseurs babyloniens. Le Second Temple, construit sous les auspices du grand Cyrus de Perse, fut rasé par les Romains au terme d'un épouvantable siège. Le Troisième temple, cependant, construit par l'illustre [FromFrom.GetTitledFirstName], se dressera pour l'éternité !\n\nConstruit au sommet du mont du Temple, le magnifique édifice est devenu un trait dominant de Jérusalem et les voyageurs qui arrivent de très loin le reconnaissent instantanément à leur approche. En vérité, Salomon lui-même aurait versé des larmes d'émotion en le voyant.;Der erste, von König Salomon errichtete Tempel, wurde von den babylonischen Eroberern zerstört. Der Zweite, unter der Herrschaft des Perserkönigs Cyrus dem Großen erbaute Tempel wurde nach schrecklicher Belagerung von den Römern geschliffen. Der Dritte Tempel aber, geschaffen von [FromFrom.GetTitledFirstName] dem Großen, wird in alle Ewigkeit stehen!\n\nDas prächtige Bauwerk auf dem Tempelberg überragt Jerusalem und ist schon aus weiter Ferne sichtbar. Selbst König Salomo wäre von seinem Anblick zu Tränen gerührt.;;El Primer Templo, construido por el rey Salomón, fue destruido por los invasores babilonios. El Segundo Templo, erigido bajo los auspicios de Ciro el Grande de Persia, fue arrasado por los romanos tras un terrible asedio. El Tercer Templo, sin embargo, edificado por el gran [FromFrom.GetTitledFirstName], ¡perdurará por toda la eternidad!\n\nDesde su posición en lo alto del Monte del Templo, este magnífico edificio se ha convertido en una insignia destacada de Jerusalén que los viajeros identifican de inmediato al acercarse a la ciudad. A decir verdad, contemplarlo habría hacho saltar las lágrimas al mismísimo Salomón.;Il Primo Tempio, costruito da Re Salomone, fu distrutto dagli invasori Babilonesi. Il Secondo Tempio, costruito sotto il buon auspicio del Re di Persia Ciro il Grande, fu raso al suolo dai Romani dopo un terribile assedio. Il Terzo Tempio, tuttavia, costruito dal grande [Root.GetTitledFirstName], durerà per tutta l'eternità!\n\nDalla sua posizione sul Monte del Tempio, la magnifica costruzione è divenuta una caratteristica dominante di Gerusalemme, immediatamente riconoscibile da una grande distanza dai viaggiatori che si avvicinano alla città. Invero, Salomone stesso sarebbe stato commosso alla sua vista.;;;;;;;;x
EVTOPTA_SoA_101;It is beautiful.;Il est magnifique.;Er ist atemberaubend.;;Es hermoso.;È bellissimo.;;;;;;;;x
restore_high_priesthood;Restore the High Priesthood;Restaurer la Grande Prêtrise;Stellt das Hohepriestertum wieder her;;Restaurar el Sumo Sacerdocio;Ripristina il Sommo Sacerdozio;;;;;;;;x
restore_high_priesthood_desc;The office of the Kohen Gadol - the High Priest of Judaism - has been vacant since the destruction of the Second Temple at the hands of the Romans. Now that the Third Temple has been built, perhaps a new High Priest should be appointed.;Le titre de Kohen Gadol - littéralement « Grand prêtre » - est vacant depuis la destruction du Second Temple par les Romains. Cependant, maintenant que le Troisième Temple est construit, il est en notre pouvoir de nommer un nouveau grand prêtre.;Das Amt des Kohen Gadol - des Hohepriesters der Juden - ist seit der Zerstörung des Zweiten Tempels durch die Römer erloschen. Nun, nach der Errichtung des Dritten Tempels, sollte vielleicht ein neuer Hohepriester ernannt werden. ;;El puesto de Kohen Gadol —Sumo Sacerdote del judaísmo— está vacante desde que los romanos destruyeron el Segundo Templo. Ahora que la construcción del Tercer templo ha finalizado, tal vez debería nombrarse un nuevo Sumo Sacerdote.;La carica di Kohen Gadol - il Sommo Sacerdote di Gerusalemme - è rimasta vacante sin dalla distruzione del Secondo Tempio per mano dei Romani. Ora che il Terzo Tempio è stato costruito, forse è ora di nominare un nuovo Sommo Sacerdote.;;;;;;;;x
create_israel;Create Israel;Créer Israël;Erschaffe Israel;;Crear Israel;Crea Israele;;;;;;;;x
create_israel_desc;It is time for the Children of Israel to found a new United Monarchy built around Jerusalem and the Promised Land, so that Jews may once more live together in peace and harmony.;Il est temps pour les Fils d'Israël de fonder une nouvelle monarchie unie autour de Jérusalem et de la Terre Promise, afin que les Juifs puissent de nouveau vivre ensemble, en paix et en harmonie.;Für die Kinder Israels ist es Zeit, ein neues einiges Königreich im Gelobten Land rund um Jerusalem zu errichten, damit die Juden wieder in Frieden harmonisch zusammenleben können.;;Es hora de que los Hijos de Israel funden una nueva monarquía unida entre Jerusalén y la Tierra Prometida, de modo que los Judíos puedan vivir de nuevo juntos en paz y armonía.;Per i figli di Israele è tempo di fondare una nuova Monarchia Unita costruita attorno a Gerusalemme ed alla Terra Promessa, in modo che gli Ebrei possano di nuovo vivere insieme in pace ed armonia.;;;;;;;;x
k_israel;Israel;Israël;Israel;;Israel;Israele;;;;;;;;x
k_israel_adj;Israelites;israélite;Israeliten;;israelitas;Israeliti;;;;;;;;x
EVTTOOLTIP_SoA_102;The Kingdom of Israel is reborn.;Le royaume d'Israël renaît.;Das Königreich Israel ist neu geboren.;;Renace el Reino de Israel.;Il Regno d'Israele è rinato.;;;;;;;;x
EVTNAME_SoA_102;The Promised Land;La Terre promise;Das Gelobte Land;;La Tierra Prometida;La Terra Promessa;;;;;;;;x
EVTDESC_SoA_102;With Jerusalem and the Promised Land under Jewish control, the time is ripe for the creation of a new United Monarchy named Israel - like the great kingdom of ancient times under David and Solomon.\n\nThe long-suffering Jewish people are finally in control of their own destiny again. No longer shall the Holy Land be torn asunder by warring Christian and Muslim lords. May this new kingdom usher in an era of peace and prosperity for the region!;Maintenant que Jérusalem et la Terre promise sont sous contrôle juif, il est temps de recréer une monarchie unie, Israël, semblable au grand royaume des temps anciens qui brilla sous le règne du légendaire roi David, son fondateur, et de Salomon, fils de David et bâtisseur du Premier Temple.\n\nLe peuple juif, qui a tant souffert, reprend enfin sa destinée en main. La Terre Promise ne sera plus jamais déchirée par les luttes belliqueuses des chrétiens et des musulmans. Puisse ce nouveau royaume inaugurer une ère de paix et de prospérité pour la région !;Mit Jerusalem und dem Gelobten Land unter jüdischer Herrschaft ist die Zeit reif für die Schaffung einer neuen Vereinigten Monarchie namens Israel - wie das große Königreich der Antike unter Salomo und David. \n\nNach der langen Leidenszeit der Vertreibung ist das jüdische Volk endlich wieder Herr seines Schicksals. Nie wieder soll das Heilige Land zerrissen werden durch die Kriege christlicher und muslimischer Herrscher. Möge das neue Königreich der Region eine Ära von Frieden und Wohlstand bescheren!;;Con Jerusalén y la Tierra Prometida bajo control judío, es el momento oportuno para crear una nueva monarquía unida llamada Israel, como el gran reino de la antigüedad gobernado por David y Salomón.\n\nEl pueblo judío, que tanto ha sufrido, controlará por fin su propio destino de nuevo. La Tierra Santa ya no será nunca más despedazada por los señores de la guerra cristianos y musulmanes. ¡Que este nuevo reino traiga una era de paz y prosperidad a la región!;Ora che Gerusalemme e la Terra Promessa sono sotto il controllo ebraico, è tempo di creare una nuova Monarchia Unita chiamata Israele - come il grande regno dei tempi antichi retto da Davide e Salomone.\n\nIl popolo ebraico, che per lungo tempo ha sofferto, finalmente è di nuovo padrone del suo destino. Mai più la Terrasanta sarà devastata dalle guerre dei signori Cristiani e Musulmani. Che questo nuovo regno inauguri un'era di pace e prosperità nella regione!;;;;;;;;x
EVTOPTA_SoA_102;Long live Israel!;Longue vie à Israël !;Lang lebe Israel!;;¡Viva Israel!;Lunga vita ad Israele!;;;;;;;;x
job_spiritual_jewish_group;Court Rabbi;Rabbin de la Cour;Der Hofrabbiner;;Rabino de la corte;Rabbino di Corte;;;;;;;;x
HEAD_KOHEN_GADOL;Kohen Gadol;Kohen Gadol;Kohen Gadol;;Kohen Gadol;Kohen Gadol;;;;;;;;x
d_jewish;The Jewish High Priesthood;Grande Prêtrise juive;Das jüdische Hohepriestertum;;El Sumo Sacerdocio judío;Il Sommo Sacerdozio Ebraico;;;;;;;;x
d_jewish_adj;Jewish;juive;Jüdisch;;Judío;Giudeo;;;;;;;;x
third_temple_construction;Construction on the Third Temple has begun.;La construction du Troisième Temple a commencé.;Der Bau des Dritten Tempels hat begonnen.;;La construcción del Tercer Templo ha comenzado.;La Costruzione del Terzo Tempio è iniziata.;;;;;;;;x
INTERACTION_GRANT_THEOCRACY_NEIGHBOR;New county theocracies must not border existing ones;Les nouvelles théocraties ne peuvent jouxter des théocraties déjà existantes;Neue theokratische Grafschaften dürfen nicht an bestehende grenzen;;Las nuevas teocracias de condado no deben colindar con las existentes;Le nuove teocrazie in una Contea non possono confinare con quelle esistenti;;;;;;;;x
